all_agree,claim_disagreement_count,claim_disagreement_type,claim_key,claim_source,claude_dir,claude_eff,consensus_confidence,consensus_data_source,consensus_effect_pct,consensus_notes,consensus_support,cross_model_direction_agreement,cross_model_direction_set,cross_model_support_n,cross_model_unique_directions_n,element,element_mismatch_flag,gemini_dir,gemini_eff,has_factorial_structure,has_n,has_tc_confusion,has_variance,high_disagreement_flag,kimi_dir,kimi_eff,pairwise_claim_available,pairwise_element,pairwise_tissue,paper_agreement_fraction,paper_direction_agreement_rate,paper_id,paper_pairwise_all_agree_rate,paper_recon_warning_count,paper_recon_warnings,risk_flag_count,risk_flags,swap_risk_flag,tissue
False,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::N::leaf,consensus_observation,decrease,-0.0956,high,Table 2,-7.407407407407414,Models agree (diff=0.0%),2,True,"[""decrease""]",2,1,N,True,decrease,-0.0641,False,True,False,True,True,,,True,N,leaf,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
False,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::P::leaf,consensus_observation,increase,0.0231,high,Table 2,11.764705882352935,Models agree (diff=0.0%),2,True,"[""increase""]",2,1,P,True,increase,0.0215,False,True,False,True,True,,,True,P,leaf,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::Zn::leaf,consensus_observation,,,high,Table 2,-18.750000000000004,Models agree (diff=0.0%),2,,[],0,0,Zn,True,,,False,True,False,True,True,,,,,,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
False,6,kimi_only;kimi_only;kimi_only;kimi_only;kimi_only;kimi_only,004_Finzi_2001::N::leaf,consensus_observation,decrease,-0.0732,high,Table 2,-11.702127659574463,Models agree (diff=2.9%),2,True,"[""decrease""]",1,1,N,True,,,True,True,True,True,True,,,True,N,leaf,0.5625,1.0,004_Finzi_2001,0.0,6,"[""This paper focuses on litter chemistry and decomposition, not living tissue mineral concentrations"", ""The main mineral data is N and P concentrations in green leaves and leaf litter"", ""Treatment is labeled 'E' (elevated) vs 'A' (ambient) - ambient is the control"", ""Some measurements are on different age cohorts of needles (new vs old)"", ""Species-specific data may need careful extraction due to multiple species"", ""Paper uses both mass-based concentrations (mg/g) and area-based measurements""]",7,"[""disagreement_present"", ""factorial_structure"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support"", ""tc_confusion""]",True,leaf
False,10,claude_only;claude_only;kimi_only;kimi_only;kimi_only;kimi_only;kimi_only;kimi_only;kimi_only;kimi_only,004_Finzi_2001::P::leaf,consensus_observation,increase,0.0926,medium,Table 2,-18.018018018018022,Models agree (diff=9.9%),2,True,"[""increase""]",1,1,P,True,,,True,True,True,True,True,,,True,P,leaf,0.5625,1.0,004_Finzi_2001,0.0,6,"[""This paper focuses on litter chemistry and decomposition, not living tissue mineral concentrations"", ""The main mineral data is N and P concentrations in green leaves and leaf litter"", ""Treatment is labeled 'E' (elevated) vs 'A' (ambient) - ambient is the control"", ""Some measurements are on different age cohorts of needles (new vs old)"", ""Species-specific data may need careful extraction due to multiple species"", ""Paper uses both mass-based concentrations (mg/g) and area-based measurements""]",7,"[""disagreement_present"", ""factorial_structure"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support"", ""tc_confusion""]",True,leaf
,2,claude_only;claude_only,007_Woodin_1992::Ca::leaf,disagreement_only,,,high,Figure 3a,-20.000000000000004,Converted from 95% CI to SE using CI/1.96,0,,[],0,0,Ca,False,,,True,True,True,True,False,,,,,,0.0,1.0,007_Woodin_1992,0.0,5,"[""This paper has THREE CO2 treatments: 370 ppm (control), 470 ppm (+100), and 570 ppm (+200)"", ""Plants showed NEGATIVE growth response in first year but positive by end - verify effect directions carefully"", ""Figure 3a shows mineral concentrations but uses error bars described as '95% CI' - this is confidence intervals, not SE/SD"", ""The paper reports 'ambient' CO2 as control (370 ppm) which was actually above normal due to building activities"", ""Root biomass could not be measured - only shoot mineral concentrations available""]",4,"[""disagreement_present"", ""factorial_structure"", ""partial_model_support"", ""tc_confusion""]",False,leaf
False,2,claude_only;claude_only,007_Woodin_1992::K::leaf,disagreement_only,decrease,-0.4474,high,Figure 3a,-33.33333333333333,Converted from 95% CI to SE using CI/1.96,0,True,"[""decrease""]",2,1,K,False,decrease,-0.4375,True,True,True,True,False,,,True,K,leaf,0.0,1.0,007_Woodin_1992,0.0,5,"[""This paper has THREE CO2 treatments: 370 ppm (control), 470 ppm (+100), and 570 ppm (+200)"", ""Plants showed NEGATIVE growth response in first year but positive by end - verify effect directions carefully"", ""Figure 3a shows mineral concentrations but uses error bars described as '95% CI' - this is confidence intervals, not SE/SD"", ""The paper reports 'ambient' CO2 as control (370 ppm) which was actually above normal due to building activities"", ""Root biomass could not be measured - only shoot mineral concentrations available""]",4,"[""disagreement_present"", ""factorial_structure"", ""partial_model_support"", ""tc_confusion""]",False,leaf
,2,claude_only;claude_only,007_Woodin_1992::Mg::leaf,disagreement_only,,,high,Figure 3a,-21.428571428571416,Converted from 95% CI to SE using CI/1.96,0,,[],0,0,Mg,False,,,True,True,True,True,False,,,,,,0.0,1.0,007_Woodin_1992,0.0,5,"[""This paper has THREE CO2 treatments: 370 ppm (control), 470 ppm (+100), and 570 ppm (+200)"", ""Plants showed NEGATIVE growth response in first year but positive by end - verify effect directions carefully"", ""Figure 3a shows mineral concentrations but uses error bars described as '95% CI' - this is confidence intervals, not SE/SD"", ""The paper reports 'ambient' CO2 as control (370 ppm) which was actually above normal due to building activities"", ""Root biomass could not be measured - only shoot mineral concentrations available""]",4,"[""disagreement_present"", ""factorial_structure"", ""partial_model_support"", ""tc_confusion""]",False,leaf
False,2,claude_only;claude_only,007_Woodin_1992::N::leaf,disagreement_only,decrease,-0.325,high,Figure 3a,-25.0,Converted from 95% CI to SE using CI/1.96,0,True,"[""decrease""]",2,1,N,False,decrease,-0.325,True,True,True,True,False,,,True,N,leaf,0.0,1.0,007_Woodin_1992,0.0,5,"[""This paper has THREE CO2 treatments: 370 ppm (control), 470 ppm (+100), and 570 ppm (+200)"", ""Plants showed NEGATIVE growth response in first year but positive by end - verify effect directions carefully"", ""Figure 3a shows mineral concentrations but uses error bars described as '95% CI' - this is confidence intervals, not SE/SD"", ""The paper reports 'ambient' CO2 as control (370 ppm) which was actually above normal due to building activities"", ""Root biomass could not be measured - only shoot mineral concentrations available""]",4,"[""disagreement_present"", ""factorial_structure"", ""partial_model_support"", ""tc_confusion""]",False,leaf
False,2,claude_only;claude_only,007_Woodin_1992::P::leaf,disagreement_only,decrease,-0.4125,high,Figure 3a,-38.46153846153846,Converted from 95% CI to SE using CI/1.96,0,True,"[""decrease""]",2,1,P,False,decrease,-0.4375,True,True,True,True,False,,,True,P,leaf,0.0,1.0,007_Woodin_1992,0.0,5,"[""This paper has THREE CO2 treatments: 370 ppm (control), 470 ppm (+100), and 570 ppm (+200)"", ""Plants showed NEGATIVE growth response in first year but positive by end - verify effect directions carefully"", ""Figure 3a shows mineral concentrations but uses error bars described as '95% CI' - this is confidence intervals, not SE/SD"", ""The paper reports 'ambient' CO2 as control (370 ppm) which was actually above normal due to building activities"", ""Root biomass could not be measured - only shoot mineral concentrations available""]",4,"[""disagreement_present"", ""factorial_structure"", ""partial_model_support"", ""tc_confusion""]",False,leaf
,0,,020_Overdieck_1993::Ca::whole plant,consensus_observation,,,high,Table 4,-13.402061855670103,Models agree (diff=0.0%),2,,[],0,0,Ca,False,,,True,True,True,False,False,,,,,,1.0,1.0,020_Overdieck_1993,0.0,5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",False,whole plant
,0,,020_Overdieck_1993::Fe::whole plant,consensus_observation,,,high,Table 4,-4.978662873399715,Models agree (diff=0.0%),2,,[],0,0,Fe,False,,,True,True,True,False,False,,,,,,1.0,1.0,020_Overdieck_1993,0.0,5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",False,whole plant
,0,,020_Overdieck_1993::K::whole plant,consensus_observation,,,high,Table 4,3.1250000000000027,Models agree (diff=0.0%),2,,[],0,0,K,False,,,True,True,True,False,False,,,,,,1.0,1.0,020_Overdieck_1993,0.0,5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",False,whole plant
,0,,020_Overdieck_1993::Mg::whole plant,consensus_observation,,,high,Table 4,-15.789473684210526,Models agree (diff=0.0%),2,,[],0,0,Mg,False,,,True,True,True,False,False,,,,,,1.0,1.0,020_Overdieck_1993,0.0,5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",False,whole plant
,0,,020_Overdieck_1993::Mn::whole plant,consensus_observation,,,high,Table 4,-10.50228310502283,Models agree (diff=0.0%),2,,[],0,0,Mn,False,,,True,True,True,False,False,,,,,,1.0,1.0,020_Overdieck_1993,0.0,5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",False,whole plant
,0,,020_Overdieck_1993::N::whole plant,consensus_observation,,,high,Table 4,-9.999999999999993,Models agree (diff=0.0%),2,,[],0,0,N,False,,,True,True,True,False,False,,,,,,1.0,1.0,020_Overdieck_1993,0.0,5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",False,whole plant
,0,,020_Overdieck_1993::P::whole plant,consensus_observation,,,high,Table 4,7.142857142857128,Models agree (diff=0.0%),2,,[],0,0,P,False,,,True,True,True,False,False,,,,,,1.0,1.0,020_Overdieck_1993,0.0,5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",3,"[""factorial_structure"", ""missing_variance"", ""tc_confusion""]",False,whole plant
,0,,031_Pal_2003::Ca::leaf,consensus_observation,,,high,Table 3,-1.1560693641618507,Models agree (diff=0.0%),2,,[],0,0,Ca,False,,,True,True,True,True,False,,,,,,1.0,1.0,031_Pal_2003,0.6667,5,"[""Control is listed as '350\u00b120' in tables but '360' in abstract - use table values for consistency"", ""Some measurements show very large positive effects (>100%) - verify these are growth parameters, not minerals"", ""Paper measures at multiple time points (40, 60, 80 DAE) - ensure correct temporal matching"", ""Total nutrient content on area basis increases due to biomass, but concentration decreases - focus on concentration data"", ""Iron and calcium show 'NS' (non-significant) differences - these should be noted in extraction""]",2,"[""factorial_structure"", ""tc_confusion""]",False,leaf
,0,,031_Pal_2003::Fe::leaf,consensus_observation,,,high,Table 3,-5.5045871559633035,Models agree (diff=0.0%),2,,[],0,0,Fe,False,,,True,True,True,True,False,,,,,,1.0,1.0,031_Pal_2003,0.6667,5,"[""Control is listed as '350\u00b120' in tables but '360' in abstract - use table values for consistency"", ""Some measurements show very large positive effects (>100%) - verify these are growth parameters, not minerals"", ""Paper measures at multiple time points (40, 60, 80 DAE) - ensure correct temporal matching"", ""Total nutrient content on area basis increases due to biomass, but concentration decreases - focus on concentration data"", ""Iron and calcium show 'NS' (non-significant) differences - these should be noted in extraction""]",2,"[""factorial_structure"", ""tc_confusion""]",False,leaf
True,0,,031_Pal_2003::N::leaf,consensus_observation,decrease,-0.2943,high,Table 3,-32.6710816777042,Models agree (diff=0.0%),2,True,"[""decrease""]",3,1,N,False,decrease,-0.2943,True,True,True,True,False,decrease,-0.2943,True,N,leaf,1.0,1.0,031_Pal_2003,0.6667,5,"[""Control is listed as '350\u00b120' in tables but '360' in abstract - use table values for consistency"", ""Some measurements show very large positive effects (>100%) - verify these are growth parameters, not minerals"", ""Paper measures at multiple time points (40, 60, 80 DAE) - ensure correct temporal matching"", ""Total nutrient content on area basis increases due to biomass, but concentration decreases - focus on concentration data"", ""Iron and calcium show 'NS' (non-significant) differences - these should be noted in extraction""]",2,"[""factorial_structure"", ""tc_confusion""]",False,leaf
True,0,,031_Pal_2003::P::leaf,consensus_observation,increase,0.0928,high,Table 3,8.57142857142858,Models agree (diff=0.0%),2,True,"[""increase""]",3,1,P,False,increase,0.0928,True,True,True,True,False,increase,0.0928,True,P,leaf,1.0,1.0,031_Pal_2003,0.6667,5,"[""Control is listed as '350\u00b120' in tables but '360' in abstract - use table values for consistency"", ""Some measurements show very large positive effects (>100%) - verify these are growth parameters, not minerals"", ""Paper measures at multiple time points (40, 60, 80 DAE) - ensure correct temporal matching"", ""Total nutrient content on area basis increases due to biomass, but concentration decreases - focus on concentration data"", ""Iron and calcium show 'NS' (non-significant) differences - these should be noted in extraction""]",2,"[""factorial_structure"", ""tc_confusion""]",False,leaf
