row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__048_Khan_2013__r484,gt,048_Khan_2013,mineral_concentration,na,c,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.402700,,Loladze CO2 Dataset row 484,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='C'->c | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.4027 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r495,gt,048_Khan_2013,mineral_concentration,na,pb,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.312800,,Loladze CO2 Dataset row 495,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Pb'->pb | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.3128 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r496,gt,048_Khan_2013,mineral_concentration,na,s,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.065000,,Loladze CO2 Dataset row 496,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='S'->s | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.065 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r497,gt,048_Khan_2013,mineral_concentration,na,zn,edible,astra,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.140200,,Loladze CO2 Dataset row 497,0,"Species=""Lycopersicon esculentum 'Astra'""->astra | Tissue='fruit'->edible | Element='Zn'->zn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.1402 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r498,gt,048_Khan_2013,mineral_concentration,na,c,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.331400,,Loladze CO2 Dataset row 498,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='C'->c | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.3314 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r499,gt,048_Khan_2013,mineral_concentration,na,ca,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.048100,,Loladze CO2 Dataset row 499,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Ca'->ca | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0481 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r500,gt,048_Khan_2013,mineral_concentration,na,cd,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.059900,,Loladze CO2 Dataset row 500,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Cd'->cd | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0599 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r501,gt,048_Khan_2013,mineral_concentration,na,cr,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.287200,,Loladze CO2 Dataset row 501,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Cr'->cr | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.2872 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r502,gt,048_Khan_2013,mineral_concentration,na,cu,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.261400,,Loladze CO2 Dataset row 502,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Cu'->cu | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.2614 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r503,gt,048_Khan_2013,mineral_concentration,na,fe,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.131600,,Loladze CO2 Dataset row 503,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Fe'->fe | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.1316 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r504,gt,048_Khan_2013,mineral_concentration,na,k,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.000700,,Loladze CO2 Dataset row 504,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='K'->k | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0007 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r505,gt,048_Khan_2013,mineral_concentration,na,mg,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.228200,,Loladze CO2 Dataset row 505,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Mg'->mg | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.2282 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r506,gt,048_Khan_2013,mineral_concentration,na,mn,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.042300,,Loladze CO2 Dataset row 506,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Mn'->mn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0423 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r507,gt,048_Khan_2013,mineral_concentration,na,n,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.144300,,Loladze CO2 Dataset row 507,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='N'->n | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.1443 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r508,gt,048_Khan_2013,mineral_concentration,na,ni,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.510600,,Loladze CO2 Dataset row 508,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Ni'->ni | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.5106 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r509,gt,048_Khan_2013,mineral_concentration,na,pb,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.219300,,Loladze CO2 Dataset row 509,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Pb'->pb | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.2193 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r510,gt,048_Khan_2013,mineral_concentration,na,s,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.065800,,Loladze CO2 Dataset row 510,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='S'->s | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0658 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
gt__048_Khan_2013__r511,gt,048_Khan_2013,mineral_concentration,na,zn,edible,eureka,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.283600,,Loladze CO2 Dataset row 511,0,"Species=""Lycopersicon esculentum 'Eureka'""->eureka | Tissue='fruit'->edible | Element='Zn'->zn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.2836 | n_species_in_ref=2 | ref='Khan et al 2012'",gt-decode-v2
