row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__020_Overdieck_1993__r3,gt,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.111100,,Loladze CO2 Dataset row 3,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.1111 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r220,gt,020_Overdieck_1993,mineral_concentration,na,n,above_ground,festuca_pratensis,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.116400,,Loladze CO2 Dataset row 220,0,Species='Festuca pratensis'->festuca_pratensis | Tissue='above ground'->above_ground | Element='N'->n | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.1164 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r221,gt,020_Overdieck_1993,mineral_concentration,na,p,above_ground,festuca_pratensis,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.006200,,Loladze CO2 Dataset row 221,0,Species='Festuca pratensis'->festuca_pratensis | Tissue='above ground'->above_ground | Element='P'->p | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0062 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r222,gt,020_Overdieck_1993,mineral_concentration,na,zn,above_ground,festuca_pratensis,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.132600,,Loladze CO2 Dataset row 222,0,Species='Festuca pratensis'->festuca_pratensis | Tissue='above ground'->above_ground | Element='Zn'->zn | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.1326 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r460,gt,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,lolium_perenne,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.169500,,Loladze CO2 Dataset row 460,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.1695 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r461,gt,020_Overdieck_1993,mineral_concentration,na,k,above_ground,lolium_perenne,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.143400,,Loladze CO2 Dataset row 461,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='K'->k | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.1434 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r462,gt,020_Overdieck_1993,mineral_concentration,na,n,above_ground,lolium_perenne,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.371100,,Loladze CO2 Dataset row 462,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='N'->n | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.3711 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r463,gt,020_Overdieck_1993,mineral_concentration,na,p,above_ground,lolium_perenne,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.034000,,Loladze CO2 Dataset row 463,0,Species='Lolium perenne'->lolium_perenne | Tissue='above ground'->above_ground | Element='P'->p | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.034 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1125,gt,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,trifolium_pratense,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.065500,,Loladze CO2 Dataset row 1125,0,Species='Trifolium pratense'->trifolium_pratense | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0655 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1126,gt,020_Overdieck_1993,mineral_concentration,na,k,above_ground,trifolium_pratense,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.206000,,Loladze CO2 Dataset row 1126,0,Species='Trifolium pratense'->trifolium_pratense | Tissue='above ground'->above_ground | Element='K'->k | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.206 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1127,gt,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,trifolium_pratense,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.005600,,Loladze CO2 Dataset row 1127,0,Species='Trifolium pratense'->trifolium_pratense | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0056 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1128,gt,020_Overdieck_1993,mineral_concentration,na,n,above_ground,trifolium_pratense,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.093400,,Loladze CO2 Dataset row 1128,0,Species='Trifolium pratense'->trifolium_pratense | Tissue='above ground'->above_ground | Element='N'->n | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0934 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1129,gt,020_Overdieck_1993,mineral_concentration,na,p,above_ground,trifolium_pratense,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.048300,,Loladze CO2 Dataset row 1129,0,Species='Trifolium pratense'->trifolium_pratense | Tissue='above ground'->above_ground | Element='P'->p | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0483 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1130,gt,020_Overdieck_1993,mineral_concentration,na,zn,above_ground,trifolium_pratense,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.053700,,Loladze CO2 Dataset row 1130,0,Species='Trifolium pratense'->trifolium_pratense | Tissue='above ground'->above_ground | Element='Zn'->zn | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0537 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1131,gt,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,trifolium_repens,eco2_620_amb_300,single_cell,ratio,ambient_co2,0.019400,,Loladze CO2 Dataset row 1131,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=0.0194 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1132,gt,020_Overdieck_1993,mineral_concentration,na,k,above_ground,trifolium_repens,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.032500,,Loladze CO2 Dataset row 1132,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='K'->k | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0325 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1133,gt,020_Overdieck_1993,mineral_concentration,na,n,above_ground,trifolium_repens,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.062100,,Loladze CO2 Dataset row 1133,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='N'->n | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0621 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r1134,gt,020_Overdieck_1993,mineral_concentration,na,p,above_ground,trifolium_repens,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.063400,,Loladze CO2 Dataset row 1134,0,Species='Trifolium repens'->trifolium_repens | Tissue='above ground'->above_ground | Element='P'->p | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0634 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
