row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__029_Kuehny_1991__r137,gt,029_Kuehny_1991,mineral_concentration,na,b,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.099000,,Loladze CO2 Dataset row 137,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='B'->b | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.099 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r148,gt,029_Kuehny_1991,mineral_concentration,na,mg,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.042000,,Loladze CO2 Dataset row 148,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.042 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r149,gt,029_Kuehny_1991,mineral_concentration,na,mn,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.171000,,Loladze CO2 Dataset row 149,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.171 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r150,gt,029_Kuehny_1991,mineral_concentration,na,mn,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.050000,,Loladze CO2 Dataset row 150,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.05 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r151,gt,029_Kuehny_1991,mineral_concentration,na,n,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.010000,,Loladze CO2 Dataset row 151,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='N'->n | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.01 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r152,gt,029_Kuehny_1991,mineral_concentration,na,n,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.071000,,Loladze CO2 Dataset row 152,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='N'->n | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.071 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r153,gt,029_Kuehny_1991,mineral_concentration,na,p,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.079000,,Loladze CO2 Dataset row 153,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='P'->p | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.079 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r154,gt,029_Kuehny_1991,mineral_concentration,na,p,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.059000,,Loladze CO2 Dataset row 154,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='P'->p | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.059 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r155,gt,029_Kuehny_1991,mineral_concentration,na,s,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.119000,,Loladze CO2 Dataset row 155,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='S'->s | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.119 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r156,gt,029_Kuehny_1991,mineral_concentration,na,s,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.093000,,Loladze CO2 Dataset row 156,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='S'->s | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.093 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r157,gt,029_Kuehny_1991,mineral_concentration,na,zn,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.213000,,Loladze CO2 Dataset row 157,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.213 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r158,gt,029_Kuehny_1991,mineral_concentration,na,zn,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.110000,,Loladze CO2 Dataset row 158,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.11 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
