row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__040_Pfirrmann_1996__r710,gt,040_Pfirrmann_1996,mineral_concentration,na,c,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.008163,,Loladze CO2 Dataset row 710,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='C'->c | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.008163265 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r721,gt,040_Pfirrmann_1996,mineral_concentration,na,mg,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.069014,,Loladze CO2 Dataset row 721,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='Mg'->mg | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=-0.069014 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r722,gt,040_Pfirrmann_1996,mineral_concentration,na,mn,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.072700,,Loladze CO2 Dataset row 722,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='Mn'->mn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=-0.0727 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r723,gt,040_Pfirrmann_1996,mineral_concentration,na,mn,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.093300,,Loladze CO2 Dataset row 723,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='Mn'->mn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=0.0933 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r724,gt,040_Pfirrmann_1996,mineral_concentration,na,n,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.061224,,Loladze CO2 Dataset row 724,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=-0.061224 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r725,gt,040_Pfirrmann_1996,mineral_concentration,na,n,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.096000,,Loladze CO2 Dataset row 725,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=-0.096 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r726,gt,040_Pfirrmann_1996,mineral_concentration,na,p,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.045113,,Loladze CO2 Dataset row 726,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.045113 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r727,gt,040_Pfirrmann_1996,mineral_concentration,na,p,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.006849,,Loladze CO2 Dataset row 727,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=0.006849 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r728,gt,040_Pfirrmann_1996,mineral_concentration,na,s,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.023641,,Loladze CO2 Dataset row 728,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='S'->s | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.023641 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r729,gt,040_Pfirrmann_1996,mineral_concentration,na,s,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.013436,,Loladze CO2 Dataset row 729,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='S'->s | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=0.013436 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r730,gt,040_Pfirrmann_1996,mineral_concentration,na,zn,foliar,karst__kminus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.431877,,Loladze CO2 Dataset row 730,0,"Species=""Picea abies 'Karst.'""->karst__kminus__needles | Tissue='needles'->foliar | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='-K, 1988 needles' | (E-A)/A=0.431877 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
gt__040_Pfirrmann_1996__r731,gt,040_Pfirrmann_1996,mineral_concentration,na,zn,foliar,karst__kplus__needles,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.011611,,Loladze CO2 Dataset row 731,0,"Species=""Picea abies 'Karst.'""->karst__kplus__needles | Tissue='needles'->foliar | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='+K, 1988 needles' | (E-A)/A=0.011611 | n_species_in_ref=1 | ref='Pfirrmann et al 1996'",gt-decode-v2
