row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__043_Natali_2009__r426,gt,043_Natali_2009,mineral_concentration,na,al,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.288800,,Loladze CO2 Dataset row 426,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Al'->al | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=-0.2888 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r437,gt,043_Natali_2009,mineral_concentration,na,mo,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,0.716300,,Loladze CO2 Dataset row 437,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Mo'->mo | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=0.7163 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r438,gt,043_Natali_2009,mineral_concentration,na,ni,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.386000,,Loladze CO2 Dataset row 438,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Ni'->ni | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=-0.386 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r439,gt,043_Natali_2009,mineral_concentration,na,ni,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,0.030300,,Loladze CO2 Dataset row 439,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Ni'->ni | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=0.0303 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r440,gt,043_Natali_2009,mineral_concentration,na,pb,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.016600,,Loladze CO2 Dataset row 440,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Pb'->pb | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=0.0166 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r441,gt,043_Natali_2009,mineral_concentration,na,pb,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,-0.075400,,Loladze CO2 Dataset row 441,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Pb'->pb | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=-0.0754 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r442,gt,043_Natali_2009,mineral_concentration,na,v,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.146000,,Loladze CO2 Dataset row 442,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='V'->v | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=0.146 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r443,gt,043_Natali_2009,mineral_concentration,na,v,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,0.049200,,Loladze CO2 Dataset row 443,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='V'->v | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=0.0492 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r444,gt,043_Natali_2009,mineral_concentration,na,zn,foliar,liquidambar_styraciflua__duke,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.082700,,Loladze CO2 Dataset row 444,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__duke | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='Duke' | (E-A)/A=-0.0827 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r445,gt,043_Natali_2009,mineral_concentration,na,zn,foliar,liquidambar_styraciflua__ornl,eco2_549_amb_393,single_cell,ratio,ambient_co2,0.136600,,Loladze CO2 Dataset row 445,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua__ornl | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=549 aCO2=393->eco2_549_amb_393 | AdditionalInfo='ORNL' | (E-A)/A=0.1366 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r816,gt,043_Natali_2009,mineral_concentration,na,al,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.345300,,Loladze CO2 Dataset row 816,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Al'->al | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=-0.3453 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r817,gt,043_Natali_2009,mineral_concentration,na,co,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.065300,,Loladze CO2 Dataset row 817,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Co'->co | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=0.0653 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r818,gt,043_Natali_2009,mineral_concentration,na,cu,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.050000,,Loladze CO2 Dataset row 818,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Cu'->cu | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=-0.05 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r819,gt,043_Natali_2009,mineral_concentration,na,fe,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.085000,,Loladze CO2 Dataset row 819,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Fe'->fe | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=0.085 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r820,gt,043_Natali_2009,mineral_concentration,na,mn,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.008300,,Loladze CO2 Dataset row 820,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Mn'->mn | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=-0.0083 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r821,gt,043_Natali_2009,mineral_concentration,na,mo,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.096300,,Loladze CO2 Dataset row 821,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Mo'->mo | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=-0.0963 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r822,gt,043_Natali_2009,mineral_concentration,na,ni,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.625000,,Loladze CO2 Dataset row 822,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Ni'->ni | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=-0.625 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r823,gt,043_Natali_2009,mineral_concentration,na,pb,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.248400,,Loladze CO2 Dataset row 823,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Pb'->pb | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=0.2484 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r824,gt,043_Natali_2009,mineral_concentration,na,v,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,0.020000,,Loladze CO2 Dataset row 824,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='V'->v | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=0.02 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r825,gt,043_Natali_2009,mineral_concentration,na,zn,foliar,pinus_taeda__1yr_old,eco2_582_amb_382,single_cell,ratio,ambient_co2,-0.082700,,Loladze CO2 Dataset row 825,0,Species='Pinus taeda'->pinus_taeda__1yr_old | Tissue='needles'->foliar | Element='Zn'->zn | eCO2=582 aCO2=382->eco2_582_amb_382 | AdditionalInfo='1 yr old' | (E-A)/A=-0.0827 | n_species_in_ref=5 | ref='Natali et al 2009',gt-decode-v2
gt__043_Natali_2009__r838,gt,043_Natali_2009,mineral_concentration,na,al,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.034700,,Loladze CO2 Dataset row 838,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Al'->al | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.0347 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r839,gt,043_Natali_2009,mineral_concentration,na,co,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.062500,,Loladze CO2 Dataset row 839,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Co'->co | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.0625 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r840,gt,043_Natali_2009,mineral_concentration,na,cu,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.025641,,Loladze CO2 Dataset row 840,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.025641 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r841,gt,043_Natali_2009,mineral_concentration,na,fe,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.019553,,Loladze CO2 Dataset row 841,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.019553 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r842,gt,043_Natali_2009,mineral_concentration,na,mn,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.661372,,Loladze CO2 Dataset row 842,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.661372 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r843,gt,043_Natali_2009,mineral_concentration,na,mo,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.230769,,Loladze CO2 Dataset row 843,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Mo'->mo | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.230769 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r844,gt,043_Natali_2009,mineral_concentration,na,ni,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.375000,,Loladze CO2 Dataset row 844,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Ni'->ni | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.375 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r845,gt,043_Natali_2009,mineral_concentration,na,pb,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.090016,,Loladze CO2 Dataset row 845,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Pb'->pb | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.090016 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r846,gt,043_Natali_2009,mineral_concentration,na,v,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.055662,,Loladze CO2 Dataset row 846,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='V'->v | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.055662 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r847,gt,043_Natali_2009,mineral_concentration,na,zn,foliar,quercus_chapmanii,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.306250,,Loladze CO2 Dataset row 847,0,"Species='Quercus chapmanii'->quercus_chapmanii | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.30625 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r859,gt,043_Natali_2009,mineral_concentration,na,al,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.369146,,Loladze CO2 Dataset row 859,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Al'->al | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.369146 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r860,gt,043_Natali_2009,mineral_concentration,na,co,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.242424,,Loladze CO2 Dataset row 860,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Co'->co | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.242424 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r861,gt,043_Natali_2009,mineral_concentration,na,cu,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.026300,,Loladze CO2 Dataset row 861,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.0263 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r862,gt,043_Natali_2009,mineral_concentration,na,fe,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.181818,,Loladze CO2 Dataset row 862,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.181818 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r863,gt,043_Natali_2009,mineral_concentration,na,mn,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.215211,,Loladze CO2 Dataset row 863,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.215211 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r864,gt,043_Natali_2009,mineral_concentration,na,mo,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.017123,,Loladze CO2 Dataset row 864,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Mo'->mo | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.017123 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r865,gt,043_Natali_2009,mineral_concentration,na,ni,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.166667,,Loladze CO2 Dataset row 865,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Ni'->ni | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.166667 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r866,gt,043_Natali_2009,mineral_concentration,na,pb,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.020313,,Loladze CO2 Dataset row 866,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Pb'->pb | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0.020313 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r867,gt,043_Natali_2009,mineral_concentration,na,v,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.303030,,Loladze CO2 Dataset row 867,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='V'->v | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.30303 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r868,gt,043_Natali_2009,mineral_concentration,na,zn,foliar,quercus_geminata,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.147727,,Loladze CO2 Dataset row 868,0,"Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.147727 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r880,gt,043_Natali_2009,mineral_concentration,na,al,foliar,quercus_myrtifolia,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.242424,,Loladze CO2 Dataset row 880,0,"Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Al'->al | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.242424 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r881,gt,043_Natali_2009,mineral_concentration,na,co,foliar,quercus_myrtifolia,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.433333,,Loladze CO2 Dataset row 881,0,"Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Co'->co | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.433333 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r882,gt,043_Natali_2009,mineral_concentration,na,cu,foliar,quercus_myrtifolia,eco2_730_amb_380,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 882,0,"Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=0 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
gt__043_Natali_2009__r883,gt,043_Natali_2009,mineral_concentration,na,fe,foliar,quercus_myrtifolia,eco2_730_amb_380,single_cell,ratio,ambient_co2,-0.028777,,Loladze CO2 Dataset row 883,0,"Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=730 aCO2=380->eco2_730_amb_380 | AdditionalInfo='8+8 OTC, SERC' | (E-A)/A=-0.028777 | n_species_in_ref=5 | ref='Natali et al 2009'",gt-decode-v2
