row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__050_Polley_2011__r62,gt,050_Polley_2011,mineral_concentration,na,c,above_ground,bouteloua_curtipendula,pooled,pooled,ratio,ambient_co2,-0.021000,,Loladze CO2 Dataset row 62,0,Species='Bouteloua curtipendula'->bouteloua_curtipendula | Tissue='tillers'->above_ground | Element='C'->c | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.021 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r926,gt,050_Polley_2011,mineral_concentration,na,ca,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,-0.080800,,Loladze CO2 Dataset row 926,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='Ca'->ca | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.0808 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r927,gt,050_Polley_2011,mineral_concentration,na,cu,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,-0.269800,,Loladze CO2 Dataset row 927,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='Cu'->cu | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.2698 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r928,gt,050_Polley_2011,mineral_concentration,na,fe,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,0.090200,,Loladze CO2 Dataset row 928,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='Fe'->fe | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0902 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r929,gt,050_Polley_2011,mineral_concentration,na,k,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,0.031500,,Loladze CO2 Dataset row 929,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='K'->k | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0315 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r930,gt,050_Polley_2011,mineral_concentration,na,mg,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,-0.040500,,Loladze CO2 Dataset row 930,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='Mg'->mg | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.0405 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r931,gt,050_Polley_2011,mineral_concentration,na,mn,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,-0.110600,,Loladze CO2 Dataset row 931,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='Mn'->mn | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.1106 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r932,gt,050_Polley_2011,mineral_concentration,na,n,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,0.129400,,Loladze CO2 Dataset row 932,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='N'->n | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.1294 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r933,gt,050_Polley_2011,mineral_concentration,na,p,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,-0.113200,,Loladze CO2 Dataset row 933,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='P'->p | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.1132 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r934,gt,050_Polley_2011,mineral_concentration,na,zn,above_ground,schizachyrium_scoparium,pooled,pooled,ratio,ambient_co2,-0.029700,,Loladze CO2 Dataset row 934,0,Species='Schizachyrium scoparium'->schizachyrium_scoparium | Tissue='tillers'->above_ground | Element='Zn'->zn | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.0297 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1083,gt,050_Polley_2011,mineral_concentration,na,c,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,0.007000,,Loladze CO2 Dataset row 1083,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='C'->c | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.007 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1084,gt,050_Polley_2011,mineral_concentration,na,ca,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,-0.259600,,Loladze CO2 Dataset row 1084,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='Ca'->ca | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.2596 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1085,gt,050_Polley_2011,mineral_concentration,na,cu,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,0.104600,,Loladze CO2 Dataset row 1085,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='Cu'->cu | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.1046 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1086,gt,050_Polley_2011,mineral_concentration,na,fe,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,0.212200,,Loladze CO2 Dataset row 1086,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='Fe'->fe | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.2122 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1087,gt,050_Polley_2011,mineral_concentration,na,k,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,0.096100,,Loladze CO2 Dataset row 1087,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='K'->k | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0961 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1088,gt,050_Polley_2011,mineral_concentration,na,mg,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,0.007000,,Loladze CO2 Dataset row 1088,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='Mg'->mg | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.007 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1089,gt,050_Polley_2011,mineral_concentration,na,mn,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,-0.075900,,Loladze CO2 Dataset row 1089,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='Mn'->mn | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.0759 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1090,gt,050_Polley_2011,mineral_concentration,na,n,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,-0.000800,,Loladze CO2 Dataset row 1090,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='N'->n | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.0008 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1091,gt,050_Polley_2011,mineral_concentration,na,p,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,-0.016900,,Loladze CO2 Dataset row 1091,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='P'->p | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=-0.0169 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
gt__050_Polley_2011__r1092,gt,050_Polley_2011,mineral_concentration,na,zn,above_ground,sorghastrum_nutans,pooled,pooled,ratio,ambient_co2,0.017900,,Loladze CO2 Dataset row 1092,0,Species='Sorghastrum nutans'->sorghastrum_nutans | Tissue='tillers'->above_ground | Element='Zn'->zn | eCO2=498 aCO2=268->pooled | AdditionalInfo='avg 3 over soils' | (E-A)/A=0.0179 | n_species_in_ref=3 | ref='Polley et al 2011',gt-decode-v2
