row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__026_Seneweera_1997__r614,gt,026_Seneweera_1997,mineral_concentration,na,ca,foliar,jarrah,pooled,pooled,ratio,ambient_co2,0.163900,,Loladze CO2 Dataset row 614,0,"Species=""Oryza sativa 'Jarrah'""->jarrah | Tissue='blades'->foliar | Element='Ca'->ca | eCO2=700 aCO2=350->pooled | AdditionalInfo='avg over 6 P treatments' | (E-A)/A=0.1639 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r629,gt,026_Seneweera_1997,mineral_concentration,na,n,grain,jarrah__p120,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.157900,,Loladze CO2 Dataset row 629,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p120 | Tissue='grain'->grain | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 120 mg/kg' | (E-A)/A=-0.1579 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r630,gt,026_Seneweera_1997,mineral_concentration,na,n,grain,jarrah__p240,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.222200,,Loladze CO2 Dataset row 630,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p240 | Tissue='grain'->grain | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 240 mg/kg' | (E-A)/A=-0.2222 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r631,gt,026_Seneweera_1997,mineral_concentration,na,n,grain,jarrah__p30,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.116300,,Loladze CO2 Dataset row 631,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p30 | Tissue='grain'->grain | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 30 mg/kg' | (E-A)/A=-0.1163 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r632,gt,026_Seneweera_1997,mineral_concentration,na,n,grain,jarrah__p480,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 632,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p480 | Tissue='grain'->grain | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 480 mg/kg' | (E-A)/A=0 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r633,gt,026_Seneweera_1997,mineral_concentration,na,n,grain,jarrah__p60,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.117600,,Loladze CO2 Dataset row 633,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p60 | Tissue='grain'->grain | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 60 mg/kg' | (E-A)/A=-0.1176 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r634,gt,026_Seneweera_1997,mineral_concentration,na,p,foliar,jarrah,pooled,pooled,ratio,ambient_co2,0.044800,,Loladze CO2 Dataset row 634,0,"Species=""Oryza sativa 'Jarrah'""->jarrah | Tissue='blades'->foliar | Element='P'->p | eCO2=700 aCO2=350->pooled | AdditionalInfo='avg over 6 P treatments' | (E-A)/A=0.0448 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r635,gt,026_Seneweera_1997,mineral_concentration,na,p,grain,jarrah__p0,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.043900,,Loladze CO2 Dataset row 635,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p0 | Tissue='grain'->grain | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 0 mg/kg' | (E-A)/A=0.0439 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r636,gt,026_Seneweera_1997,mineral_concentration,na,p,grain,jarrah__p120,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.204300,,Loladze CO2 Dataset row 636,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p120 | Tissue='grain'->grain | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 120 mg/kg' | (E-A)/A=-0.2043 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r637,gt,026_Seneweera_1997,mineral_concentration,na,p,grain,jarrah__p240,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.077100,,Loladze CO2 Dataset row 637,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p240 | Tissue='grain'->grain | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 240 mg/kg' | (E-A)/A=-0.0771 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r638,gt,026_Seneweera_1997,mineral_concentration,na,p,grain,jarrah__p30,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.009000,,Loladze CO2 Dataset row 638,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p30 | Tissue='grain'->grain | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 30 mg/kg' | (E-A)/A=-0.009 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r639,gt,026_Seneweera_1997,mineral_concentration,na,p,grain,jarrah__p480,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.032300,,Loladze CO2 Dataset row 639,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p480 | Tissue='grain'->grain | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 480 mg/kg' | (E-A)/A=0.0323 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r640,gt,026_Seneweera_1997,mineral_concentration,na,p,grain,jarrah__p60,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.097200,,Loladze CO2 Dataset row 640,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p60 | Tissue='grain'->grain | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 60 mg/kg' | (E-A)/A=-0.0972 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r641,gt,026_Seneweera_1997,mineral_concentration,na,zn,foliar,jarrah,pooled,pooled,ratio,ambient_co2,-0.025200,,Loladze CO2 Dataset row 641,0,"Species=""Oryza sativa 'Jarrah'""->jarrah | Tissue='blades'->foliar | Element='Zn'->zn | eCO2=700 aCO2=350->pooled | AdditionalInfo='avg over 6 P treatments' | (E-A)/A=-0.0252 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r642,gt,026_Seneweera_1997,mineral_concentration,na,zn,grain,jarrah__p0,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.124000,,Loladze CO2 Dataset row 642,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p0 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 0 mg/kg' | (E-A)/A=-0.124 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r643,gt,026_Seneweera_1997,mineral_concentration,na,zn,grain,jarrah__p120,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.098000,,Loladze CO2 Dataset row 643,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p120 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 120 mg/kg' | (E-A)/A=-0.098 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r644,gt,026_Seneweera_1997,mineral_concentration,na,zn,grain,jarrah__p240,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.152000,,Loladze CO2 Dataset row 644,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p240 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 240 mg/kg' | (E-A)/A=-0.152 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r645,gt,026_Seneweera_1997,mineral_concentration,na,zn,grain,jarrah__p30,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.078000,,Loladze CO2 Dataset row 645,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p30 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 30 mg/kg' | (E-A)/A=-0.078 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r646,gt,026_Seneweera_1997,mineral_concentration,na,zn,grain,jarrah__p480,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.020000,,Loladze CO2 Dataset row 646,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p480 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 480 mg/kg' | (E-A)/A=-0.02 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r647,gt,026_Seneweera_1997,mineral_concentration,na,zn,grain,jarrah__p60,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.112000,,Loladze CO2 Dataset row 647,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p60 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 60 mg/kg' | (E-A)/A=-0.112 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
