row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__017_Fangmeier_2002__r971,gt,017_Fangmeier_2002,mineral_concentration,na,ca,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,0.107100,,Loladze CO2 Dataset row 971,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='1 GI, SB, TE locations,  O3' | (E-A)/A=0.1071 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r982,gt,017_Fangmeier_2002,mineral_concentration,na,k,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.035533,,Loladze CO2 Dataset row 982,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='K'->k | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=-0.035533 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r983,gt,017_Fangmeier_2002,mineral_concentration,na,mg,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,0.112100,,Loladze CO2 Dataset row 983,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='4 GI, SB, TE locations,  O3' | (E-A)/A=0.1121 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r984,gt,017_Fangmeier_2002,mineral_concentration,na,mg,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.056300,,Loladze CO2 Dataset row 984,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='Mg'->mg | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='4 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=-0.0563 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r985,gt,017_Fangmeier_2002,mineral_concentration,na,mg,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.066200,,Loladze CO2 Dataset row 985,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.0662 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r986,gt,017_Fangmeier_2002,mineral_concentration,na,mg,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.030060,,Loladze CO2 Dataset row 986,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='Mg'->mg | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=-0.03006 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r987,gt,017_Fangmeier_2002,mineral_concentration,na,mn,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.281500,,Loladze CO2 Dataset row 987,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='Mn'->mn | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='5 GI, SB, TE locations,  O3' | (E-A)/A=-0.2815 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r988,gt,017_Fangmeier_2002,mineral_concentration,na,mn,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.014900,,Loladze CO2 Dataset row 988,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='Mn'->mn | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='5 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=-0.0149 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r989,gt,017_Fangmeier_2002,mineral_concentration,na,mn,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.205200,,Loladze CO2 Dataset row 989,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='Mn'->mn | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.2052 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r990,gt,017_Fangmeier_2002,mineral_concentration,na,mn,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,0.015900,,Loladze CO2 Dataset row 990,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='Mn'->mn | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=0.0159 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r991,gt,017_Fangmeier_2002,mineral_concentration,na,n,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.136800,,Loladze CO2 Dataset row 991,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='N'->n | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='6 GI, SB, TE locations,  O3' | (E-A)/A=-0.1368 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r992,gt,017_Fangmeier_2002,mineral_concentration,na,n,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.126000,,Loladze CO2 Dataset row 992,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='N'->n | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='6 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=-0.126 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r993,gt,017_Fangmeier_2002,mineral_concentration,na,n,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.141700,,Loladze CO2 Dataset row 993,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='N'->n | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.1417 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r994,gt,017_Fangmeier_2002,mineral_concentration,na,n,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.063636,,Loladze CO2 Dataset row 994,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='N'->n | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=-0.063636 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r995,gt,017_Fangmeier_2002,mineral_concentration,na,p,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.064800,,Loladze CO2 Dataset row 995,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='P'->p | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='7 GI, SB, TE locations,  O3' | (E-A)/A=-0.0648 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r996,gt,017_Fangmeier_2002,mineral_concentration,na,p,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.033800,,Loladze CO2 Dataset row 996,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='P'->p | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='7 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=-0.0338 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r997,gt,017_Fangmeier_2002,mineral_concentration,na,p,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.179130,,Loladze CO2 Dataset row 997,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='P'->p | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.17913 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r998,gt,017_Fangmeier_2002,mineral_concentration,na,p,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.012605,,Loladze CO2 Dataset row 998,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='P'->p | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=-0.012605 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r999,gt,017_Fangmeier_2002,mineral_concentration,na,zn,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 999,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='Zn'->zn | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='8 GI, SB, TE locations,  O3' | (E-A)/A=0 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r1000,gt,017_Fangmeier_2002,mineral_concentration,na,zn,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,0.080000,,Loladze CO2 Dataset row 1000,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='Zn'->zn | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='8 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=0.08 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r1001,gt,017_Fangmeier_2002,mineral_concentration,na,zn,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.107600,,Loladze CO2 Dataset row 1001,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='Zn'->zn | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.1076 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r1002,gt,017_Fangmeier_2002,mineral_concentration,na,zn,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,0.046980,,Loladze CO2 Dataset row 1002,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='Zn'->zn | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=0.04698 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
