row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__033_Johnson_2003__r848,gt,033_Johnson_2003,mineral_concentration,na,b,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.258100,,Loladze CO2 Dataset row 848,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='B'->b | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.2581 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r869,gt,033_Johnson_2003,mineral_concentration,na,b,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.040000,,Loladze CO2 Dataset row 869,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='B'->b | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.04 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r870,gt,033_Johnson_2003,mineral_concentration,na,ca,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.155200,,Loladze CO2 Dataset row 870,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.1552 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r871,gt,033_Johnson_2003,mineral_concentration,na,cu,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.137300,,Loladze CO2 Dataset row 871,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.1373 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r872,gt,033_Johnson_2003,mineral_concentration,na,fe,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.379300,,Loladze CO2 Dataset row 872,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.3793 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r873,gt,033_Johnson_2003,mineral_concentration,na,k,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 873,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='K'->k | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r874,gt,033_Johnson_2003,mineral_concentration,na,mg,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.142900,,Loladze CO2 Dataset row 874,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.1429 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r875,gt,033_Johnson_2003,mineral_concentration,na,mn,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.365100,,Loladze CO2 Dataset row 875,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.3651 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r876,gt,033_Johnson_2003,mineral_concentration,na,n,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.121000,,Loladze CO2 Dataset row 876,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='N'->n | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.121 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r877,gt,033_Johnson_2003,mineral_concentration,na,p,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 877,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='P'->p | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r878,gt,033_Johnson_2003,mineral_concentration,na,s,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.240000,,Loladze CO2 Dataset row 878,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='S'->s | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.24 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r879,gt,033_Johnson_2003,mineral_concentration,na,zn,foliar,quercus_myrtifolia,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.117600,,Loladze CO2 Dataset row 879,0,Species='Quercus myrtifolia'->quercus_myrtifolia | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.1176 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
