row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__006_Azam_2013__r106,gt,006_Azam_2013,mineral_concentration,na,c,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.208200,,Loladze CO2 Dataset row 106,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='C'->c | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.2082 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r117,gt,006_Azam_2013,mineral_concentration,na,pb,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.052000,,Loladze CO2 Dataset row 117,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Pb'->pb | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.052 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r118,gt,006_Azam_2013,mineral_concentration,na,s,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.253300,,Loladze CO2 Dataset row 118,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='S'->s | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.2533 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r119,gt,006_Azam_2013,mineral_concentration,na,zn,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.245700,,Loladze CO2 Dataset row 119,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Zn'->zn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.2457 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r185,gt,006_Azam_2013,mineral_concentration,na,c,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.151600,,Loladze CO2 Dataset row 185,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='C'->c | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.1516 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r186,gt,006_Azam_2013,mineral_concentration,na,ca,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.090800,,Loladze CO2 Dataset row 186,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Ca'->ca | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0908 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r187,gt,006_Azam_2013,mineral_concentration,na,cd,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.056700,,Loladze CO2 Dataset row 187,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Cd'->cd | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0567 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r188,gt,006_Azam_2013,mineral_concentration,na,cr,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.260300,,Loladze CO2 Dataset row 188,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Cr'->cr | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.2603 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r189,gt,006_Azam_2013,mineral_concentration,na,cu,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.131600,,Loladze CO2 Dataset row 189,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Cu'->cu | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.1316 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r190,gt,006_Azam_2013,mineral_concentration,na,fe,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.077800,,Loladze CO2 Dataset row 190,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Fe'->fe | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0778 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r191,gt,006_Azam_2013,mineral_concentration,na,k,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.003900,,Loladze CO2 Dataset row 191,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='K'->k | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0039 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r192,gt,006_Azam_2013,mineral_concentration,na,mg,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.012900,,Loladze CO2 Dataset row 192,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Mg'->mg | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0129 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r193,gt,006_Azam_2013,mineral_concentration,na,mn,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.046300,,Loladze CO2 Dataset row 193,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Mn'->mn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0463 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r194,gt,006_Azam_2013,mineral_concentration,na,n,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.243000,,Loladze CO2 Dataset row 194,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='N'->n | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.243 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r195,gt,006_Azam_2013,mineral_concentration,na,ni,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.084300,,Loladze CO2 Dataset row 195,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Ni'->ni | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0843 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r196,gt,006_Azam_2013,mineral_concentration,na,pb,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.024900,,Loladze CO2 Dataset row 196,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Pb'->pb | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0249 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r197,gt,006_Azam_2013,mineral_concentration,na,s,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.091200,,Loladze CO2 Dataset row 197,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='S'->s | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0912 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r198,gt,006_Azam_2013,mineral_concentration,na,zn,edible,t_1_111,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.171300,,Loladze CO2 Dataset row 198,0,"Species=""Daucus carota 'T-1-111'""->t_1_111 | Tissue='tuber'->edible | Element='Zn'->zn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.1713 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r913,gt,006_Azam_2013,mineral_concentration,na,ca,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.050700,,Loladze CO2 Dataset row 913,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Ca'->ca | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0507 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r914,gt,006_Azam_2013,mineral_concentration,na,cr,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.105600,,Loladze CO2 Dataset row 914,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Cr'->cr | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.1056 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r915,gt,006_Azam_2013,mineral_concentration,na,cu,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.083300,,Loladze CO2 Dataset row 915,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Cu'->cu | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0833 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r916,gt,006_Azam_2013,mineral_concentration,na,fe,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.029800,,Loladze CO2 Dataset row 916,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Fe'->fe | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0298 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r917,gt,006_Azam_2013,mineral_concentration,na,k,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.013800,,Loladze CO2 Dataset row 917,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='K'->k | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0138 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r918,gt,006_Azam_2013,mineral_concentration,na,mg,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.076300,,Loladze CO2 Dataset row 918,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Mg'->mg | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0763 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r919,gt,006_Azam_2013,mineral_concentration,na,mn,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.067700,,Loladze CO2 Dataset row 919,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Mn'->mn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0677 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r920,gt,006_Azam_2013,mineral_concentration,na,ni,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.028400,,Loladze CO2 Dataset row 920,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Ni'->ni | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0284 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r921,gt,006_Azam_2013,mineral_concentration,na,pb,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.045800,,Loladze CO2 Dataset row 921,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Pb'->pb | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0458 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r922,gt,006_Azam_2013,mineral_concentration,na,zn,edible,mino,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.123200,,Loladze CO2 Dataset row 922,0,"Species=""Raphanus sativus 'Mino'""->mino | Tissue='tuber'->edible | Element='Zn'->zn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.1232 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
