row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__047_Rodenkirchen_2009__r206,gt,047_Rodenkirchen_2009,mineral_concentration,na,b,foliar,fagus_sylvatica,eco2_685_amb_385,single_cell,ratio,ambient_co2,0.222000,,Loladze CO2 Dataset row 206,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='foliar'->foliar | Element='B'->b | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=0.222 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009',gt-decode-v2
gt__047_Rodenkirchen_2009__r732,gt,047_Rodenkirchen_2009,mineral_concentration,na,b,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.138400,,Loladze CO2 Dataset row 732,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='B'->b | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.1384 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r733,gt,047_Rodenkirchen_2009,mineral_concentration,na,ca,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.163600,,Loladze CO2 Dataset row 733,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='Ca'->ca | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.1636 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r734,gt,047_Rodenkirchen_2009,mineral_concentration,na,cu,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.379300,,Loladze CO2 Dataset row 734,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='Cu'->cu | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.3793 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r735,gt,047_Rodenkirchen_2009,mineral_concentration,na,fe,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.488400,,Loladze CO2 Dataset row 735,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='Fe'->fe | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.4884 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r736,gt,047_Rodenkirchen_2009,mineral_concentration,na,k,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.089800,,Loladze CO2 Dataset row 736,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='K'->k | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.0898 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r737,gt,047_Rodenkirchen_2009,mineral_concentration,na,mg,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.157900,,Loladze CO2 Dataset row 737,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='Mg'->mg | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.1579 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r738,gt,047_Rodenkirchen_2009,mineral_concentration,na,mn,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.263500,,Loladze CO2 Dataset row 738,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='Mn'->mn | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.2635 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r739,gt,047_Rodenkirchen_2009,mineral_concentration,na,n,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.168490,,Loladze CO2 Dataset row 739,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='N'->n | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.16849 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r740,gt,047_Rodenkirchen_2009,mineral_concentration,na,p,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.007000,,Loladze CO2 Dataset row 740,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='P'->p | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.007 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r741,gt,047_Rodenkirchen_2009,mineral_concentration,na,s,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.179500,,Loladze CO2 Dataset row 741,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='S'->s | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.1795 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
gt__047_Rodenkirchen_2009__r742,gt,047_Rodenkirchen_2009,mineral_concentration,na,zn,foliar,karst,eco2_685_amb_385,single_cell,ratio,ambient_co2,-0.147400,,Loladze CO2 Dataset row 742,0,"Species=""Picea abies 'Karst.'""->karst | Tissue='needles'->foliar | Element='Zn'->zn | eCO2=685 aCO2=385->eco2_685_amb_385 | AdditionalInfo='' | (E-A)/A=-0.1474 | n_species_in_ref=2 | ref='Rodenkirchen et al 2009'",gt-decode-v2
