row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__030_Wroblewitz_2013__r341,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.078800,,Loladze CO2 Dataset row 341,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N100, 2000' | (E-A)/A=-0.0788 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r358,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.150700,,Loladze CO2 Dataset row 358,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N100, 2003' | (E-A)/A=-0.1507 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r359,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.393800,,Loladze CO2 Dataset row 359,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N50, 2000' | (E-A)/A=-0.3938 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r360,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.196000,,Loladze CO2 Dataset row 360,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N50, 2003' | (E-A)/A=-0.196 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1245,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.057600,,Loladze CO2 Dataset row 1245,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N100, 2002' | (E-A)/A=0.0576 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1246,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.100700,,Loladze CO2 Dataset row 1246,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N100, 2005' | (E-A)/A=-0.1007 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1247,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.102500,,Loladze CO2 Dataset row 1247,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N50, 2002' | (E-A)/A=0.1025 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1248,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.031600,,Loladze CO2 Dataset row 1248,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N50, 2005' | (E-A)/A=-0.0316 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1249,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.083000,,Loladze CO2 Dataset row 1249,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N100, 2002' | (E-A)/A=-0.083 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1250,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.132500,,Loladze CO2 Dataset row 1250,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N100, 2005' | (E-A)/A=-0.1325 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1251,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.090900,,Loladze CO2 Dataset row 1251,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N50, 2002' | (E-A)/A=-0.0909 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1252,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.076200,,Loladze CO2 Dataset row 1252,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N50, 2005' | (E-A)/A=-0.0762 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1253,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.189200,,Loladze CO2 Dataset row 1253,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N100, 2002' | (E-A)/A=-0.1892 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1254,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.250000,,Loladze CO2 Dataset row 1254,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N100, 2005' | (E-A)/A=-0.25 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1255,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.007700,,Loladze CO2 Dataset row 1255,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N50, 2002' | (E-A)/A=-0.0077 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1256,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.143100,,Loladze CO2 Dataset row 1256,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N50, 2005' | (E-A)/A=-0.1431 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1257,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 1257,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N100, 2002' | (E-A)/A=0 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1258,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 1258,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N100, 2005' | (E-A)/A=0 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1259,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.050000,,Loladze CO2 Dataset row 1259,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N50, 2002' | (E-A)/A=-0.05 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1260,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 1260,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N50, 2005' | (E-A)/A=0 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1261,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.028300,,Loladze CO2 Dataset row 1261,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N100, 2002' | (E-A)/A=0.0283 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1262,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.113100,,Loladze CO2 Dataset row 1262,0,"Species=""Triticum aestivum 'Batis'""->batis__n100 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N100, 2005' | (E-A)/A=-0.1131 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1263,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.082000,,Loladze CO2 Dataset row 1263,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2002 | AdditionalInfo='N50, 2002' | (E-A)/A=-0.082 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r1264,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.087000,,Loladze CO2 Dataset row 1264,0,"Species=""Triticum aestivum 'Batis'""->batis__n50 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2005 | AdditionalInfo='N50, 2005' | (E-A)/A=-0.087 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
