row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
009_Barnes_1992__ai__0,ai,009_Barnes_1992,mineral_concentration,na,n,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1546,,Table 4,0,element='N'->n | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__14,ai,009_Barnes_1992,mineral_concentration,na,s,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.3261,,Table 5,0,element='S'->s | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__15,ai,009_Barnes_1992,mineral_concentration,na,s,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.119,,Table 5,0,element='S'->s | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__16,ai,009_Barnes_1992,mineral_concentration,na,p,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1515,,Table 5,0,element='P'->p | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__17,ai,009_Barnes_1992,mineral_concentration,na,p,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1351,,Table 5,0,element='P'->p | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__18,ai,009_Barnes_1992,mineral_concentration,na,k,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.0745,,Table 5,0,element='K'->k | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__19,ai,009_Barnes_1992,mineral_concentration,na,k,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.0787,,Table 5,0,element='K'->k | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__20,ai,009_Barnes_1992,mineral_concentration,na,mg,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.2273,,Table 5,0,element='Mg'->mg | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__21,ai,009_Barnes_1992,mineral_concentration,na,mg,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.2174,,Table 5,0,element='Mg'->mg | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__22,ai,009_Barnes_1992,mineral_concentration,na,ca,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1613,,Table 5,0,element='Ca'->ca | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__23,ai,009_Barnes_1992,mineral_concentration,na,ca,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.2059,,Table 5,0,element='Ca'->ca | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
