row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
005_Niinemets_1999__ai__0,ai,005_Niinemets_1999,mineral_concentration,na,n,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.219858,,Table 1,0,element='Nitrogen'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='mmol g⁻¹' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__11,ai,005_Niinemets_1999,mineral_concentration,na,n,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0,,Table 1,0,element='Chl(a+b)/N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='mmol mol⁻¹' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__12,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.114583,,Table 2,0,element='Amax at Ca=350'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol m⁻² s⁻¹' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__13,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.028476,,Table 2,0,element='Stomatal conductance to H2O at Ca=350'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='mmol m⁻² s⁻¹' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__14,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0,,Table 2,0,element='Amax at Ca=600-700'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol m⁻² s⁻¹' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__15,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.167568,,Table 2,0,element='Stomatal conductance at Ca=600-700'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='mmol m⁻² s⁻¹' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__16,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.047337,,Table 2,0,element='Vcmax from A vs Ci curves'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹ s⁻¹' | src='Table 2' || NOTE: non-mineral variable (no element symbol): 'Vcmax from A vs Ci curves' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__17,ai,005_Niinemets_1999,mineral_concentration,na,n,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.093023,,Table 2,0,element='Fraction of leaf N in Rubisco (FR)'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='unitless' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__18,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.031073,,Table 2,0,element='Jmax from A vs Ci curves'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹ s⁻¹' | src='Table 2' || NOTE: non-mineral variable (no element symbol): 'Jmax from A vs Ci curves' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__19,ai,005_Niinemets_1999,mineral_concentration,na,n,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.08156,,Table 2,0,element='Fraction of leaf N in photoenergetics (FB)'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='unitless' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__20,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.019231,,Table 2,0,element='Jmax/Vcmax ratio from A vs Ci curves'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='unitless' | src='Table 2' || NOTE: ratio variable (no single element symbol): 'Jmax/Vcmax ratio from A vs Ci curves' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__21,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.042105,,Table 2,0,element='Pmax'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹ s⁻¹' | src='Table 2' || NOTE: non-mineral variable (no element symbol): 'Pmax' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__22,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.005464,,Table 2,0,element='Rd'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹ s⁻¹' | src='Table 2' || NOTE: non-mineral variable (no element symbol): 'Rd' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__23,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.196296,,Table 2,0,element='Jmax from A vs Q curves at Ca=350'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹ s⁻¹' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__24,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.084291,,Table 2,0,element='Jmax/Vcmax from A vs Q curves Ca=350'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='unitless' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__25,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.101538,,Table 2,0,element='Jmax from A vs Q curves Ca=700'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹ s⁻¹' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__26,ai,005_Niinemets_1999,mineral_concentration,na,n,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.07563,,Table 1a,0,"element='Nitrogen (mmol g⁻¹)'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['lown'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), low N (0.05 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), low N (0.05 mol N m⁻' | unit='mmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='low'->lown",ai-decode-v3
005_Niinemets_1999__ai__27,ai,005_Niinemets_1999,mineral_concentration,na,p,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.528139,,Table 1a,0,"element='Phosphorus (µmol g⁻¹)'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), high N (0.3 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), high N (0.3 mol N m⁻' | unit='µmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high'->highn",ai-decode-v3
005_Niinemets_1999__ai__28,ai,005_Niinemets_1999,mineral_concentration,na,p,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.402469,,Table 1a,0,"element='Phosphorus (µmol g⁻¹)'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['lown'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), low N (0.05 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), low N (0.05 mol N m⁻' | unit='µmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='low'->lown",ai-decode-v3
005_Niinemets_1999__ai__29,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.323308,,Table 1a,0,"element='Calcium (µmol g⁻¹)'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['lown'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), low N (0.05 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), low N (0.05 mol N m⁻' | unit='µmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='low'->lown",ai-decode-v3
005_Niinemets_1999__ai__30,ai,005_Niinemets_1999,mineral_concentration,na,mg,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.195599,,Table 1a,0,"element='Magnesium (µmol g⁻¹)'->mg | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), high N (0.3 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), high N (0.3 mol N m⁻' | unit='µmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high'->highn",ai-decode-v3
005_Niinemets_1999__ai__31,ai,005_Niinemets_1999,mineral_concentration,na,mg,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.353075,,Table 1a,0,"element='Magnesium (µmol g⁻¹)'->mg | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['lown'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), low N (0.05 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), low N (0.05 mol N m⁻' | unit='µmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='low'->lown",ai-decode-v3
005_Niinemets_1999__ai__32,ai,005_Niinemets_1999,mineral_concentration,na,k,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.223684,,Table 1a,0,"element='Potassium (µmol g⁻¹)'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), high N (0.3 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), high N (0.3 mol N m⁻' | unit='µmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high'->highn",ai-decode-v3
005_Niinemets_1999__ai__33,ai,005_Niinemets_1999,mineral_concentration,na,k,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.221591,,Table 1a,0,"element='Potassium (µmol g⁻¹)'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['lown'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹), low N (0.05 mol N m' C_desc='Ambient CO2 (350 µmol mol⁻¹), low N (0.05 mol N m⁻' | unit='µmol g⁻¹' | src='Table 1a' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='low'->lown",ai-decode-v3
