row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
030_Wroblewitz_2013__ai__0,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.05,,Table 3,0,element='Na'->na | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n50'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__11,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.007709,,Table 3,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n50'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__12,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.189256,,Table 3,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n100'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__13,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.143143,,Table 3,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n50'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__14,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.25,,Table 3,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n100'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__15,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.090909,,Table 3,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n50'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__16,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.082988,,Table 3,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n100'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__17,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.07619,,Table 3,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n50'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__18,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.13253,,Table 3,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n100'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__19,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.068966,,Table 4,0,element='Na'->na | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n50'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__20,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0,,Table 4,0,element='Na'->na | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n100'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__21,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.029412,,Table 4,0,element='Na'->na | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n50'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__22,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,0,,Table 4,0,element='Na'->na | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n100'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__23,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.393846,,Table 4,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n50'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__24,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.142276,,Table 4,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n100'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__25,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.196,,Table 4,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n50'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__26,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.150735,,Table 4,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n100'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__27,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.568449,,Table 4,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n50'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__28,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.07888,,Table 4,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n100'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__29,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.10221,,Table 4,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n50'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__30,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.180693,,Table 4,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n100'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__31,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0.715877,,Table 4,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n50'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__32,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.173745,,Table 4,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n100'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__33,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.204673,,Table 4,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n50'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__34,ai,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.157895,,Table 4,0,element='Mn'->mn | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n100'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__35,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0.325301,,Table 4,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n50'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__36,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0.294872,,Table 4,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2000 | lvl_suffix=['n100'] tp_suffix=['y2000'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2000'->y2000,ai-decode-v3
030_Wroblewitz_2013__ai__37,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,0.044248,,Table 4,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n50'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2003'->y2003,ai-decode-v3
030_Wroblewitz_2013__ai__38,ai,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.036313,,Table 4,0,element='Fe'->fe | tissue='grain'->grain | cultivar='Theresa' | CO2->eco2_550_amb_380__y2003 | lvl_suffix=['n100'] tp_suffix=['y2003'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 4' || NOTE: cultivar='Theresa' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2003'->y2003,ai-decode-v3
