row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
036_Schenk_1997__ai__0,ai,036_Schenk_1997,mineral_concentration,na,n,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0966,,Table 1,0,element='N'->n | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__11,ai,036_Schenk_1997,mineral_concentration,na,p,total_yield,mixed_sward,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.044,,Table 1,0,element='P'->p | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__12,ai,036_Schenk_1997,mineral_concentration,na,k,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0556,,Table 1,0,element='K'->k | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__13,ai,036_Schenk_1997,mineral_concentration,na,k,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.1075,,Table 1,0,element='K'->k | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__14,ai,036_Schenk_1997,mineral_concentration,na,k,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.2129,,Table 1,0,element='K'->k | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__15,ai,036_Schenk_1997,mineral_concentration,na,k,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.1867,,Table 1,0,element='K'->k | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__16,ai,036_Schenk_1997,mineral_concentration,na,k,total_yield,mixed_sward,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.1818,,Table 1,0,element='K'->k | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__17,ai,036_Schenk_1997,mineral_concentration,na,k,total_yield,mixed_sward,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.1689,,Table 1,0,element='K'->k | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__18,ai,036_Schenk_1997,mineral_concentration,na,s,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.0361,,Table 1,0,element='S'->s | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__19,ai,036_Schenk_1997,mineral_concentration,na,s,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.0523,,Table 1,0,element='S'->s | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__20,ai,036_Schenk_1997,mineral_concentration,na,s,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0618,,Table 1,0,element='S'->s | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__21,ai,036_Schenk_1997,mineral_concentration,na,s,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.0637,,Table 1,0,element='S'->s | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__22,ai,036_Schenk_1997,mineral_concentration,na,s,total_yield,mixed_sward,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0285,,Table 1,0,element='S'->s | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__23,ai,036_Schenk_1997,mineral_concentration,na,s,total_yield,mixed_sward,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.031,,Table 1,0,element='S'->s | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__24,ai,036_Schenk_1997,mineral_concentration,na,mg,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0382,,Table 1,0,element='Mg'->mg | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__25,ai,036_Schenk_1997,mineral_concentration,na,mg,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.0789,,Table 1,0,element='Mg'->mg | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__26,ai,036_Schenk_1997,mineral_concentration,na,mg,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.0093,,Table 1,0,element='Mg'->mg | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__27,ai,036_Schenk_1997,mineral_concentration,na,mg,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.0453,,Table 1,0,element='Mg'->mg | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__28,ai,036_Schenk_1997,mineral_concentration,na,mg,total_yield,mixed_sward,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.0137,,Table 1,0,element='Mg'->mg | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__29,ai,036_Schenk_1997,mineral_concentration,na,mg,total_yield,mixed_sward,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.0486,,Table 1,0,element='Mg'->mg | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__30,ai,036_Schenk_1997,mineral_concentration,na,ca,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0349,,Table 1,0,element='Ca'->ca | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__31,ai,036_Schenk_1997,mineral_concentration,na,ca,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.0923,,Table 1,0,element='Ca'->ca | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__32,ai,036_Schenk_1997,mineral_concentration,na,ca,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.0421,,Table 1,0,element='Ca'->ca | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__33,ai,036_Schenk_1997,mineral_concentration,na,ca,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.0138,,Table 1,0,element='Ca'->ca | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__34,ai,036_Schenk_1997,mineral_concentration,na,ca,total_yield,mixed_sward,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.1067,,Table 1,0,element='Ca'->ca | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__35,ai,036_Schenk_1997,mineral_concentration,na,ca,total_yield,mixed_sward,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.0903,,Table 1,0,element='Ca'->ca | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__36,ai,036_Schenk_1997,mineral_concentration,na,na,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.2699,,Table 1,0,element='Na'->na | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__37,ai,036_Schenk_1997,mineral_concentration,na,na,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.3861,,Table 1,0,element='Na'->na | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__38,ai,036_Schenk_1997,mineral_concentration,na,na,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.2195,,Table 1,0,element='Na'->na | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__39,ai,036_Schenk_1997,mineral_concentration,na,na,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.2512,,Table 1,0,element='Na'->na | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__40,ai,036_Schenk_1997,mineral_concentration,na,na,total_yield,mixed_sward,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.2063,,Table 1,0,element='Na'->na | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__41,ai,036_Schenk_1997,mineral_concentration,na,na,total_yield,mixed_sward,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.2475,,Table 1,0,element='Na'->na | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
