row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
043_Natali_2009__ai__0,ai,043_Natali_2009,mineral_concentration,na,al,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2607,,Table 6,0,"element='Al'->al | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__11,ai,043_Natali_2009,mineral_concentration,na,co,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.0653,,Table 6,0,"element='Co'->co | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__12,ai,043_Natali_2009,mineral_concentration,na,pb,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2484,,Table 6,0,"element='Pb'->pb | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__13,ai,043_Natali_2009,mineral_concentration,na,v,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.02,,Table 6,0,"element='V'->v | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__14,ai,043_Natali_2009,mineral_concentration,na,cu,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0476,,Table 6,0,"element='Cu'->cu | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__15,ai,043_Natali_2009,mineral_concentration,na,fe,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.085,,Table 6,0,"element='Fe'->fe | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__16,ai,043_Natali_2009,mineral_concentration,na,mn,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0083,,Table 6,0,"element='Mn'->mn | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__17,ai,043_Natali_2009,mineral_concentration,na,mo,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0963,,Table 6,0,"element='Mo'->mo | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__18,ai,043_Natali_2009,mineral_concentration,na,ni,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.625,,Table 6,0,"element='Ni'->ni | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__19,ai,043_Natali_2009,mineral_concentration,na,zn,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0827,,Table 6,0,"element='Zn'->zn | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__20,ai,043_Natali_2009,mineral_concentration,na,al,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2888,,Table 6,0,"element='Al'->al | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__21,ai,043_Natali_2009,mineral_concentration,na,co,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2805,,Table 6,0,"element='Co'->co | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__22,ai,043_Natali_2009,mineral_concentration,na,pb,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.0066,,Table 6,0,"element='Pb'->pb | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__23,ai,043_Natali_2009,mineral_concentration,na,v,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.146,,Table 6,0,"element='V'->v | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__24,ai,043_Natali_2009,mineral_concentration,na,cu,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.1923,,Table 6,0,"element='Cu'->cu | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__25,ai,043_Natali_2009,mineral_concentration,na,fe,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.244,,Table 6,0,"element='Fe'->fe | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__26,ai,043_Natali_2009,mineral_concentration,na,mn,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.4606,,Table 6,0,"element='Mn'->mn | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__27,ai,043_Natali_2009,mineral_concentration,na,mo,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.1877,,Table 6,0,"element='Mo'->mo | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__28,ai,043_Natali_2009,mineral_concentration,na,ni,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.386,,Table 6,0,"element='Ni'->ni | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__29,ai,043_Natali_2009,mineral_concentration,na,zn,foliar,liquidambar_styraciflua__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0245,,Table 6,0,"element='Zn'->zn | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__30,ai,043_Natali_2009,mineral_concentration,na,al,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.1429,,Table 6,0,"element='Al'->al | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__31,ai,043_Natali_2009,mineral_concentration,na,co,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.1963,,Table 6,0,"element='Co'->co | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__32,ai,043_Natali_2009,mineral_concentration,na,pb,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0754,,Table 6,0,"element='Pb'->pb | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__33,ai,043_Natali_2009,mineral_concentration,na,v,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.0492,,Table 6,0,"element='V'->v | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__34,ai,043_Natali_2009,mineral_concentration,na,cu,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.1739,,Table 6,0,"element='Cu'->cu | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__35,ai,043_Natali_2009,mineral_concentration,na,fe,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0826,,Table 6,0,"element='Fe'->fe | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__36,ai,043_Natali_2009,mineral_concentration,na,mn,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.1343,,Table 6,0,"element='Mn'->mn | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__37,ai,043_Natali_2009,mineral_concentration,na,mo,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.267,,Table 6,0,"element='Mo'->mo | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__38,ai,043_Natali_2009,mineral_concentration,na,ni,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.0303,,Table 6,0,"element='Ni'->ni | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__39,ai,043_Natali_2009,mineral_concentration,na,zn,foliar,liquidambar_styraciflua__ornl,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.1366,,Table 6,0,"element='Zn'->zn | tissue='leaf'->foliar | species='Liquidambar styraciflua' | CO2->eco2_570_amb_370 | lvl_suffix=['ornl'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Liquidambar styraciflua' ; CO2 e=570 a=370 ; site='ORNL'->ornl ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__40,ai,043_Natali_2009,mineral_concentration,na,al,foliar,quercus_chapmanii,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0347,,Table 6,0,"element='Al'->al | tissue='leaf'->foliar | species='Quercus chapmanii' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Quercus chapmanii' ; CO2 e=570 a=370 ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__41,ai,043_Natali_2009,mineral_concentration,na,co,foliar,quercus_chapmanii,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0625,,Table 6,0,"element='Co'->co | tissue='leaf'->foliar | species='Quercus chapmanii' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Quercus chapmanii' ; CO2 e=570 a=370 ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__42,ai,043_Natali_2009,mineral_concentration,na,pb,foliar,quercus_chapmanii,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.09,,Table 6,0,"element='Pb'->pb | tissue='leaf'->foliar | species='Quercus chapmanii' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Quercus chapmanii' ; CO2 e=570 a=370 ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__43,ai,043_Natali_2009,mineral_concentration,na,v,foliar,quercus_chapmanii,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.0557,,Table 6,0,"element='V'->v | tissue='leaf'->foliar | species='Quercus chapmanii' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Quercus chapmanii' ; CO2 e=570 a=370 ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__44,ai,043_Natali_2009,mineral_concentration,na,cu,foliar,quercus_chapmanii,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2245,,Table 6,0,"element='Cu'->cu | tissue='leaf'->foliar | species='Quercus chapmanii' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Quercus chapmanii' ; CO2 e=570 a=370 ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__45,ai,043_Natali_2009,mineral_concentration,na,fe,foliar,quercus_chapmanii,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.0196,,Table 6,0,"element='Fe'->fe | tissue='leaf'->foliar | species='Quercus chapmanii' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Quercus chapmanii' ; CO2 e=570 a=370 ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
