row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
033_Johnson_2003__ai__0,ai,033_Johnson_2003,mineral_concentration,na,n,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.114458,,Table 4,0,element='N (%)'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__11,ai,033_Johnson_2003,mineral_concentration,na,p,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.074074,,Table 4,0,element='P (%)'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__12,ai,033_Johnson_2003,mineral_concentration,na,k,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0.088889,,Table 4,0,element='K (%)'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__13,ai,033_Johnson_2003,mineral_concentration,na,ca,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.083832,,Table 4,0,element='Ca (%)'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__14,ai,033_Johnson_2003,mineral_concentration,na,mg,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.057143,,Table 4,0,element='Mg (%)'->mg | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__15,ai,033_Johnson_2003,mineral_concentration,na,mn,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.046053,,Table 4,0,element='Mn (mg g-1)'->mn | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__16,ai,033_Johnson_2003,mineral_concentration,na,fe,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.354167,,Table 4,0,element='Fe (mg g-1)'->fe | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__17,ai,033_Johnson_2003,mineral_concentration,na,cu,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.150943,,Table 4,0,element='Cu (mg g-1)'->cu | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__18,ai,033_Johnson_2003,mineral_concentration,na,b,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.125,,Table 4,0,element='B (mg g-1)'->b | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__19,ai,033_Johnson_2003,mineral_concentration,na,zn,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.241758,,Table 4,0,element='Zn (mg g-1)'->zn | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__20,ai,033_Johnson_2003,mineral_concentration,na,n,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0,,Table 4,0,element='N (%)'->n | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__21,ai,033_Johnson_2003,mineral_concentration,na,p,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.074074,,Table 4,0,element='P (%)'->p | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__22,ai,033_Johnson_2003,mineral_concentration,na,k,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.046512,,Table 4,0,element='K (%)'->k | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__23,ai,033_Johnson_2003,mineral_concentration,na,ca,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.044118,,Table 4,0,element='Ca (%)'->ca | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__24,ai,033_Johnson_2003,mineral_concentration,na,mg,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.047619,,Table 4,0,element='Mg (%)'->mg | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__25,ai,033_Johnson_2003,mineral_concentration,na,mn,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0.068729,,Table 4,0,element='Mn (mg g-1)'->mn | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__26,ai,033_Johnson_2003,mineral_concentration,na,fe,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.105653,,Table 4,0,element='Fe (mg g-1)'->fe | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__27,ai,033_Johnson_2003,mineral_concentration,na,cu,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.171548,,Table 4,0,element='Cu (mg g-1)'->cu | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__28,ai,033_Johnson_2003,mineral_concentration,na,b,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.052632,,Table 4,0,element='B (mg g-1)'->b | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__29,ai,033_Johnson_2003,mineral_concentration,na,zn,edible,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0.130435,,Table 4,0,element='Zn (mg g-1)'->zn | tissue='root'->edible | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__30,ai,033_Johnson_2003,mineral_concentration,na,n,foliar,,pooled,pooled,ratio,ambient_co2,-0.114458,,Table 4,0,element='N'->n | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (average daytime [CO2] of 542 ppm)' C_desc='Ambient CO2' | unit='mg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (average daytime [CO2] of 5' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__31,ai,033_Johnson_2003,mineral_concentration,na,p,foliar,,pooled,pooled,ratio,ambient_co2,-0.076923,,Table 4,0,element='P'->p | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='mg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__32,ai,033_Johnson_2003,mineral_concentration,na,k,foliar,,pooled,pooled,ratio,ambient_co2,0,,Table 4,0,element='K'->k | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='mg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__33,ai,033_Johnson_2003,mineral_concentration,na,ca,foliar,,pooled,pooled,ratio,ambient_co2,0.108333,,Table 4,0,element='Ca'->ca | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='mg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__34,ai,033_Johnson_2003,mineral_concentration,na,mg,foliar,,pooled,pooled,ratio,ambient_co2,0,,Table 4,0,element='Mg'->mg | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='mg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__35,ai,033_Johnson_2003,mineral_concentration,na,mn,foliar,,pooled,pooled,ratio,ambient_co2,-0.074219,,Table 4,0,element='Mn'->mn | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='µg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__36,ai,033_Johnson_2003,mineral_concentration,na,fe,foliar,,pooled,pooled,ratio,ambient_co2,-0.1875,,Table 4,0,element='Fe'->fe | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='µg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__37,ai,033_Johnson_2003,mineral_concentration,na,cu,foliar,,pooled,pooled,ratio,ambient_co2,-0.095238,,Table 4,0,element='Cu'->cu | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='µg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__38,ai,033_Johnson_2003,mineral_concentration,na,b,foliar,,pooled,pooled,ratio,ambient_co2,0.125,,Table 4,0,element='B'->b | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='µg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__39,ai,033_Johnson_2003,mineral_concentration,na,zn,foliar,,pooled,pooled,ratio,ambient_co2,0.006623,,Table 4,0,element='Zn'->zn | tissue='foliage'->foliar | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='µg g-1' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__40,ai,033_Johnson_2003,mineral_concentration,na,n,litter,,pooled,pooled,ratio,ambient_co2,-0.105882,,Table 4,0,element='N'->n | tissue='litterfall'->litter | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='mg g-1' | src='Table 4' || NOTE: tissue outside closed list (litter) -> documented attrition ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
033_Johnson_2003__ai__41,ai,033_Johnson_2003,mineral_concentration,na,p,litter,,pooled,pooled,ratio,ambient_co2,-0.074074,,Table 4,0,element='P'->p | tissue='litterfall'->litter | no species/cultivar -> blank | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2' | unit='mg g-1' | src='Table 4' || NOTE: tissue outside closed list (litter) -> documented attrition ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2') ; year='1999-2000 (pooled)',ai-decode-v3
