row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
048_Khan_2013__ai__0,ai,048_Khan_2013,mineral_concentration,na,c,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.4027,,Table 4,0,"element='C'->c | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__20,ai,048_Khan_2013,mineral_concentration,na,cu,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.178,,Table 4,0,"element='Cu'->cu | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__21,ai,048_Khan_2013,mineral_concentration,na,cu,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.2615,,Table 4,0,"element='Cu'->cu | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__22,ai,048_Khan_2013,mineral_concentration,na,pb,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.3128,,Table 4,0,"element='Pb'->pb | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__23,ai,048_Khan_2013,mineral_concentration,na,pb,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.2193,,Table 4,0,"element='Pb'->pb | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__24,ai,048_Khan_2013,mineral_concentration,na,ni,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.6085,,Table 4,0,"element='Ni'->ni | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__25,ai,048_Khan_2013,mineral_concentration,na,ni,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.5106,,Table 4,0,"element='Ni'->ni | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__26,ai,048_Khan_2013,mineral_concentration,na,cr,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.2138,,Table 4,0,"element='Cr'->cr | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__27,ai,048_Khan_2013,mineral_concentration,na,cr,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.2871,,Table 4,0,"element='Cr'->cr | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__28,ai,048_Khan_2013,mineral_concentration,na,cd,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.0937,,Table 4,0,"element='Cd'->cd | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__29,ai,048_Khan_2013,mineral_concentration,na,cd,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.0599,,Table 4,0,"element='Cd'->cd | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
