row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
020_Overdieck_1993__ai__0,ai,020_Overdieck_1993,mineral_concentration,na,n,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.1016,,Table 4,0,element='N'->n | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__11,ai,020_Overdieck_1993,mineral_concentration,na,mn,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.2025,,Table 4,0,element='Mn'->mn | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__12,ai,020_Overdieck_1993,mineral_concentration,na,fe,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.0771,,Table 4,0,element='Fe'->fe | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__13,ai,020_Overdieck_1993,mineral_concentration,na,fe,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.0661,,Table 4,0,element='Fe'->fe | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__14,ai,020_Overdieck_1993,mineral_concentration,na,n,above_ground,fagus_sylvatica,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.0857,,Table 4,0,element='N'->n | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__15,ai,020_Overdieck_1993,mineral_concentration,na,n,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.1,,Table 4,0,element='N'->n | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__16,ai,020_Overdieck_1993,mineral_concentration,na,p,above_ground,fagus_sylvatica,eco2_520_amb_390,single_cell,ratio,ambient_co2,0.0714,,Table 4,0,element='P'->p | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__17,ai,020_Overdieck_1993,mineral_concentration,na,p,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,0.0714,,Table 4,0,element='P'->p | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__18,ai,020_Overdieck_1993,mineral_concentration,na,k,above_ground,fagus_sylvatica,eco2_520_amb_390,single_cell,ratio,ambient_co2,0.0313,,Table 4,0,element='K'->k | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__19,ai,020_Overdieck_1993,mineral_concentration,na,k,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,0.0313,,Table 4,0,element='K'->k | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__20,ai,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,fagus_sylvatica,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.0619,,Table 4,0,element='Ca'->ca | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__21,ai,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.134,,Table 4,0,element='Ca'->ca | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__22,ai,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,fagus_sylvatica,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.1053,,Table 4,0,element='Mg'->mg | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__23,ai,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.1579,,Table 4,0,element='Mg'->mg | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__24,ai,020_Overdieck_1993,mineral_concentration,na,mn,above_ground,fagus_sylvatica,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.1005,,Table 4,0,element='Mn'->mn | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__25,ai,020_Overdieck_1993,mineral_concentration,na,mn,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.105,,Table 4,0,element='Mn'->mn | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__26,ai,020_Overdieck_1993,mineral_concentration,na,fe,above_ground,fagus_sylvatica,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.1977,,Table 4,0,element='Fe'->fe | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__27,ai,020_Overdieck_1993,mineral_concentration,na,fe,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.0498,,Table 4,0,element='Fe'->fe | tissue='whole plant'->above_ground | species='Fagus sylvatica' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Fagus sylvatica' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
