row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
022_Blank_2011__ai__0,ai,022_Blank_2011,mineral_concentration,na,n,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.125,,Table 2,0,element='N'->n | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__11,ai,022_Blank_2011,mineral_concentration,na,p,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.1053,,Table 3,0,element='P'->p | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__12,ai,022_Blank_2011,mineral_concentration,na,k,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.1603,,Table 3,0,element='K'->k | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__13,ai,022_Blank_2011,mineral_concentration,na,k,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.0547,,Table 3,0,element='K'->k | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__14,ai,022_Blank_2011,mineral_concentration,na,k,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.0086,,Table 3,0,element='K'->k | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__15,ai,022_Blank_2011,mineral_concentration,na,k,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.0273,,Table 3,0,element='K'->k | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__16,ai,022_Blank_2011,mineral_concentration,na,mg,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.3043,,Table 3,0,element='Mg'->mg | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__17,ai,022_Blank_2011,mineral_concentration,na,mg,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.2,,Table 3,0,element='Mg'->mg | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__18,ai,022_Blank_2011,mineral_concentration,na,mg,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.25,,Table 3,0,element='Mg'->mg | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__19,ai,022_Blank_2011,mineral_concentration,na,mg,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0,,Table 3,0,element='Mg'->mg | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__20,ai,022_Blank_2011,mineral_concentration,na,ca,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.0813,,Table 3,0,element='Ca'->ca | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__21,ai,022_Blank_2011,mineral_concentration,na,ca,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.2023,,Table 3,0,element='Ca'->ca | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__22,ai,022_Blank_2011,mineral_concentration,na,ca,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.3589,,Table 3,0,element='Ca'->ca | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__23,ai,022_Blank_2011,mineral_concentration,na,ca,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.279,,Table 3,0,element='Ca'->ca | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__24,ai,022_Blank_2011,mineral_concentration,na,mn,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.0505,,Table 3,0,element='Mn'->mn | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__25,ai,022_Blank_2011,mineral_concentration,na,mn,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.1829,,Table 3,0,element='Mn'->mn | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__26,ai,022_Blank_2011,mineral_concentration,na,mn,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.0091,,Table 3,0,element='Mn'->mn | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__27,ai,022_Blank_2011,mineral_concentration,na,mn,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.2383,,Table 3,0,element='Mn'->mn | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mmol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__28,ai,022_Blank_2011,mineral_concentration,na,na,above_ground,,eco2_420_amb_270,single_cell,ratio,ambient_co2,,,not reported in tables,0,element='Na'->na | tissue='above ground'->above_ground | no species/cultivar -> blank | CO2->eco2_420_amb_270 | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit=None | src='not reported in tables' || NOTE: no species/cultivar -> blank ; CO2 e=420 a=270 ; effect undeterminable,rebuild_2026-08-19/loladze
