row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
042_Luomala_2005__ai__0,ai,042_Luomala_2005,mineral_concentration,na,n,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1861,,Table 5,0,element='N'->n | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__28,ai,042_Luomala_2005,mineral_concentration,na,cu,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0882,,Table 5,0,element='Cu'->cu | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__29,ai,042_Luomala_2005,mineral_concentration,na,cu,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.4414,,Table 5,0,element='Cu'->cu | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__30,ai,042_Luomala_2005,mineral_concentration,na,zn,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1218,,Table 5,0,element='Zn'->zn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__31,ai,042_Luomala_2005,mineral_concentration,na,zn,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1175,,Table 5,0,element='Zn'->zn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__32,ai,042_Luomala_2005,mineral_concentration,na,zn,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1957,,Table 5,0,element='Zn'->zn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__33,ai,042_Luomala_2005,mineral_concentration,na,zn,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.0138,,Table 5,0,element='Zn'->zn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__34,ai,042_Luomala_2005,mineral_concentration,na,zn,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0045,,Table 5,0,element='Zn'->zn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__35,ai,042_Luomala_2005,mineral_concentration,na,fe,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0383,,Table 5,0,element='Fe'->fe | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__36,ai,042_Luomala_2005,mineral_concentration,na,fe,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1525,,Table 5,0,element='Fe'->fe | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__37,ai,042_Luomala_2005,mineral_concentration,na,mn,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.2146,,Table 5,0,element='Mn'->mn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__38,ai,042_Luomala_2005,mineral_concentration,na,mn,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.4182,,Table 5,0,element='Mn'->mn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__39,ai,042_Luomala_2005,mineral_concentration,na,mn,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.6233,,Table 5,0,element='Mn'->mn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__40,ai,042_Luomala_2005,mineral_concentration,na,mn,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1525,,Table 5,0,element='Mn'->mn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__41,ai,042_Luomala_2005,mineral_concentration,na,mn,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.077,,Table 5,0,element='Mn'->mn | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__42,ai,042_Luomala_2005,mineral_concentration,na,b,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.0481,,Table 5,0,element='B'->b | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__43,ai,042_Luomala_2005,mineral_concentration,na,b,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.5081,,Table 5,0,element='B'->b | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__44,ai,042_Luomala_2005,mineral_concentration,na,b,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0045,,Table 5,0,element='B'->b | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
