row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
051_Niu_2013__ai__0,ai,051_Niu_2013,mineral_concentration,na,p,foliar,n3__p0,eco2_50_amb_50,single_cell,ratio,ambient_co2,-0.212121,,Supplementary Figure S2a; SPAD values mentioned in text,1,"element='chlorophyll content SPAD readings under P-deficient conditions'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_50_amb_50 | lvl_suffix=['n3', 'p0'] tp_suffix=[] | T_desc='Elevated CO2 (800±50 µl/l)' C_desc='Ambient CO2 (350±50 µl/l)' | unit='SPAD units' | src='Supplementary Figure S2a; SPAD values mentioned in text' || NOTE: no species/cultivar -> blank ; CO2 e=50 a=50 ; N='NO3-'->n3 ; P='P-deficient (0.5 µM NaH2PO4)'->p0",ai-decode-v3
051_Niu_2013__ai__11,ai,051_Niu_2013,mineral_concentration,na,,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.533333,,Figure 7a,1,element='NR activity in shoots'->(blank) | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='µmol/h/g FW' | src='Figure 7a' || NOTE: non-mineral variable (no element symbol): 'NR activity in shoots' ; shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__12,ai,051_Niu_2013,mineral_concentration,na,,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.5,,Figure 7b,1,element='NR activity in roots'->(blank) | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='µmol/h/g FW' | src='Figure 7b' || NOTE: non-mineral variable (no element symbol): 'NR activity in roots' ; storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__13,ai,051_Niu_2013,mineral_concentration,na,,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,1.4,,Figure 7c,1,element='NOS activity in shoots'->(blank) | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='% control' | src='Figure 7c' || NOTE: non-mineral variable (no element symbol): 'NOS activity in shoots' ; shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__14,ai,051_Niu_2013,mineral_concentration,na,,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,1,,Figure 7d,1,element='NOS activity in roots'->(blank) | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='% control' | src='Figure 7d' || NOTE: non-mineral variable (no element symbol): 'NOS activity in roots' ; storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__15,ai,051_Niu_2013,mineral_concentration,na,p,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.181818,,Supplementary Figure S1a,1,element='shoot fresh biomass under P-adequate conditions'->p | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='g/plant' | src='Supplementary Figure S1a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__16,ai,051_Niu_2013,mineral_concentration,na,p,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0,,Supplementary Figure S1b,1,element='root fresh biomass under P-adequate conditions'->p | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='g/plant' | src='Supplementary Figure S1b' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__17,ai,051_Niu_2013,mineral_concentration,na,p,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,-0.25,,Supplementary Figure S1c,1,element='P concentration in whole plants under P-adequate conditions'->p | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mg/g DW' | src='Supplementary Figure S1c' || NOTE: no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__18,ai,051_Niu_2013,mineral_concentration,na,p,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,-0.25,,Supplementary Figure S1d,1,element='P absorbed per weight of roots under P-adequate conditions'->p | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mg/g DW' | src='Supplementary Figure S1d' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__19,ai,051_Niu_2013,mineral_concentration,na,p,foliar,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0,,Supplementary Figure S2b,1,element='chlorophyll content SPAD readings under P-adequate conditions'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='SPAD' | src='Supplementary Figure S2b' || NOTE: no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__20,ai,051_Niu_2013,mineral_concentration,na,p,foliar,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,-0.285714,,Supplementary Figure S3a,1,element='anthocyanin content under P-deficient conditions'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='µmol/g FW' | src='Supplementary Figure S3a' || NOTE: no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__21,ai,051_Niu_2013,mineral_concentration,na,p,foliar,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0,,Supplementary Figure S3b,1,element='anthocyanin content under P-adequate conditions'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='µmol/g FW' | src='Supplementary Figure S3b' || NOTE: no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
