row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
004_Finzi_2001__ai__0,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.1144,,Table 2,0,element='N'->n | tissue='green leaf'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__11,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cornus_florida,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.0364,,Table 2,0,element='P'->p | tissue='green leaf'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__12,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,acer_rubrum,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.0253,,Table 2,0,element='N'->n | tissue='green leaf'->foliar | species='Acer rubrum (Red maple)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Acer rubrum (Red maple)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__13,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,acer_rubrum,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.0583,,Table 2,0,element='P'->p | tissue='green leaf'->foliar | species='Acer rubrum (Red maple)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Acer rubrum (Red maple)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__14,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.1304,,Table 2,0,element='N'->n | tissue='green leaf'->foliar | species='Liquidambar styraciflua (Sweet gum)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Liquidambar styraciflua (Sweet gum)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__15,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.1102,,Table 2,0,element='P'->p | tissue='green leaf'->foliar | species='Liquidambar styraciflua (Sweet gum)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Liquidambar styraciflua (Sweet gum)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__16,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,pinus_taeda,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.1048,,Table 2,0,element='N'->n | tissue='green leaf (new)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__17,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,pinus_taeda,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.0089,,Table 2,0,element='P'->p | tissue='green leaf (new)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__18,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.0235,,Table 2,0,element='N'->n | tissue='green leaf (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=['old_leaves'] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__19,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.1235,,Table 2,0,element='P'->p | tissue='green leaf (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=['old_leaves'] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__20,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0099,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__21,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,0.32,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__22,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cornus_florida,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.2556,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__23,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cornus_florida,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0308,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__24,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,acer_rubrum,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0959,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Acer rubrum (Red maple)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Acer rubrum (Red maple)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__25,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,acer_rubrum,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,0.0351,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Acer rubrum (Red maple)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Acer rubrum (Red maple)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__26,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0597,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Liquidambar styraciflua (Sweet gum)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Liquidambar styraciflua (Sweet gum)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__27,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,0.2222,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Liquidambar styraciflua (Sweet gum)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Liquidambar styraciflua (Sweet gum)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__28,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,0.0426,,Table 2,0,element='N'->n | tissue='leaf litter (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=['old_leaves'] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__29,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,0.0833,,Table 2,0,element='P'->p | tissue='leaf litter (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=['old_leaves'] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__30,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cercis_canadensis,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.0088,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__31,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cercis_canadensis,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.44,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__32,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cornus_florida,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.2604,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__33,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cornus_florida,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.1429,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__34,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,acer_rubrum,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.0541,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Acer rubrum (Red maple)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Acer rubrum (Red maple)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__35,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,acer_rubrum,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.3559,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Acer rubrum (Red maple)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Acer rubrum (Red maple)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__36,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.0986,,Table 2,0,element='N'->n | tissue='leaf litter'->foliar | species='Liquidambar styraciflua (Sweet gum)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Liquidambar styraciflua (Sweet gum)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__37,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.1509,,Table 2,0,element='P'->p | tissue='leaf litter'->foliar | species='Liquidambar styraciflua (Sweet gum)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Liquidambar styraciflua (Sweet gum)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__38,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.0204,,Table 2,0,element='N'->n | tissue='leaf litter (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=['old_leaves'] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__39,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.2258,,Table 2,0,element='P'->p | tissue='leaf litter (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=['old_leaves'] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__40,ai,004_Finzi_2001,mineral_concentration,na,c,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.044,,Table 3,0,element='C'->c | tissue='leaf litter'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='%' | src='Table 3' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__41,ai,004_Finzi_2001,mineral_concentration,na,,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0452,,Table 3,0,element='lignin'->(blank) | tissue='leaf litter'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='%' | src='Table 3' || NOTE: non-mineral variable (no element symbol): 'lignin' ; species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__42,ai,004_Finzi_2001,mineral_concentration,na,,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0738,,Table 3,0,element='TNC'->(blank) | tissue='leaf litter'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='%' | src='Table 3' || NOTE: non-mineral variable (no element symbol): 'TNC' ; species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
