## Ground Truth Data for 82_Torun_2001
Source: MOESM5_dataset.xlsx

### Sheet: Data 2 Soil  application (study_ids: [82])
Headers: ['Observation ID', 'Study ID', 'Publication', 'Country', 'Available  Zn (mg kg-1)', 'Available  Zn grouping', 'pH', 'pH grouping', 'CaCO3(%)', 'CaCO3 grouping', 'Organic matter (g kg-1)', 'Organic matter grouping', 'N rate (kg N ha-1) ', 'N rate grouping', 'P rate (kg P ha-1)', 'P rate grouping', 'K rate (kg K ha-1)', 'K rate grouping', 'Zn fertilizer type', 'Zn rate (kg Zn ha-1)']

  Found 50 rows:
  {'Observation ID': 777, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3460}
  {'Observation ID': 788, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3400}
  {'Observation ID': 789, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3210}
  {'Observation ID': 790, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3130}
  {'Observation ID': 791, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3470}
  {'Observation ID': 792, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2140}
  {'Observation ID': 793, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2760}
  {'Observation ID': 794, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2730}
  {'Observation ID': 795, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2160}
  {'Observation ID': 796, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2630}
  {'Observation ID': 797, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1990}
  {'Observation ID': 798, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2650}
  {'Observation ID': 799, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2430}
  {'Observation ID': 800, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2250}
