row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
166_Haefele_2011__ai__1,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2005ws,single_cell,kg/ha,absolute_control,3810,3840,Table 6,0,site=IRRI; season=2005 WS; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__12,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2008ds,single_cell,kg/ha,cofactor_matched_control,3770,3750,Table 6,0,site=IRRI; season=2008 DS; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__13,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2008ws,single_cell,kg/ha,absolute_control,3110,3230,Table 6,0,site=IRRI; season=2008 WS; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__14,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2008ws,single_cell,kg/ha,cofactor_matched_control,3900,4240,Table 6,0,site=IRRI; season=2008 WS; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__15,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,pooled,pooled,kg/ha,absolute_control,2780,2850,Table 6,0,site=IRRI; season=Mean; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__16,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,pooled,pooled,kg/ha,cofactor_matched_control,4150,4340,Table 6,0,site=IRRI; season=Mean; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__17,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,siniloan_2005ws,single_cell,kg/ha,absolute_control,3300,3010,Table 6,0,site=Siniloan; season=2005 WS; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__18,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,siniloan_2005ws,single_cell,kg/ha,cofactor_matched_control,3290,3190,Table 6,0,site=Siniloan; season=2005 WS; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__19,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,siniloan_2007ws,single_cell,kg/ha,absolute_control,3130,3090,Table 6,0,site=Siniloan; season=2007 WS; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__20,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,siniloan_2007ws,single_cell,kg/ha,cofactor_matched_control,3540,3330,Table 6,0,site=Siniloan; season=2007 WS; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__21,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,pooled,pooled,kg/ha,absolute_control,3310,3040,Table 6,0,site=Siniloan; season=Mean; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__22,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,pooled,pooled,kg/ha,cofactor_matched_control,3220,3030,Table 6,0,site=Siniloan; season=Mean; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__23,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,ubon_2005ws,single_cell,kg/ha,absolute_control,2730,2630,Table 6,0,site=Ubon; season=2005 WS; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__24,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,ubon_2005ws,single_cell,kg/ha,cofactor_matched_control,3710,3310,Table 6,0,site=Ubon; season=2005 WS; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__25,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,ubon_2007ws,single_cell,kg/ha,absolute_control,1750,1970,Table 6,0,site=Ubon; season=2007 WS; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__26,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,ubon_2007ws,single_cell,kg/ha,cofactor_matched_control,3330,2630,Table 6,0,site=Ubon; season=2007 WS; CRH+F vs C+F,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__27,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,pooled,pooled,kg/ha,absolute_control,2250,2070,Table 6,0,site=Ubon; season=Mean; CRH vs C,rebuild_2026-08-19/biochar
166_Haefele_2011__ai__28,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,pooled,pooled,kg/ha,cofactor_matched_control,3100,2490,Table 6,0,site=Ubon; season=Mean; CRH+F vs C+F,rebuild_2026-08-19/biochar
