row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
rashid_2019__ai__0,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.6,34.2,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Liangxing 99"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__11,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.2,28.1,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__12,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.3,31.9,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__13,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,35.3,31.9,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__14,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.7,26.4,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__15,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,27.4,26.4,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__16,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.2,24.5,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__17,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,27.7,24.5,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__18,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.2,26.4,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__19,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.9,26.4,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__20,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.9,13.5,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sehar-2006"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__21,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.4,13.5,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sehar-2006"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__22,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.2,19.9,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sehar-2006"", ""location"": ""Muridke, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__23,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,23.8,19.9,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sehar-2006"", ""location"": ""Muridke, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__24,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.0,21.5,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Lasani-2008"", ""location"": ""Kabirwala, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__25,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,24.7,21.5,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Lasani-2008"", ""location"": ""Kabirwala, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__26,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.0,29.3,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__27,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.2,29.3,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__28,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,31.0,32.9,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Muridke, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__29,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.4,32.9,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Muridke, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__30,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,34.0,26.8,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Lorrie II"", ""location"": ""Chisamba, Zambia"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__31,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.0,26.8,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Lorrie II"", ""location"": ""Chisamba, Zambia"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__32,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,23.8,23.2,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Lorrie II"", ""location"": ""Chilanga, Zambia"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__33,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.5,23.2,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Lorrie II"", ""location"": ""Chilanga, Zambia"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
