row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
kalayci_1999__ai__0,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16,8,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sertak 52"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__11,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,10,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Gun 91"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__12,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,9,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kirgiz 95"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__13,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12,10,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kirgiz 95"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__14,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Gerek 79"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__15,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Gerek 79"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__16,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 14"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__17,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,11,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 14"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__18,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,7,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""P 8-6"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__19,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""P 8-6"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__20,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""4-11"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__21,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,10,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""4-11"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__22,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10,7,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 90-14"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__23,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 90-14"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__24,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,8,7,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Bezostaya 1"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__25,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Bezostaya 1"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__26,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,7,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Zitarka"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__27,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14,11,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Zitarka"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__28,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,5,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kutluk 94"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__29,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,10,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kutluk 94"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__30,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""4-22"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__31,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,11,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""4-22"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__32,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 90-11"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__33,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15,10,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 90-11"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__34,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Atay 85"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__35,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,11,8,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Atay 85"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
