row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
bharti_2013__ai__0,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.0,17.23,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 262"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__11,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,25.87,24.87,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2584"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__12,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.97,11.57,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 343"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__13,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,25.13,11.57,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 343"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__14,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.1,16.2,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 550"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__15,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,36.17,16.2,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 550"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__16,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.7,16.17,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 175"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__17,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,26.23,16.17,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 175"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__18,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.4,14.63,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 590"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__19,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,36.4,14.63,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 590"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__20,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.07,18.57,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 262"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__21,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,34.37,18.57,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 262"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__22,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,24.43,18.97,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2338"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__23,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,36.9,18.97,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2338"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__24,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,26.53,22.87,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2382"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__25,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,37.57,22.87,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2382"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__26,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.47,22.57,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2572"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__27,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,40.47,22.57,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2572"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__28,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.73,23.37,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2554"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__29,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,30.93,23.37,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2554"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__30,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,24.03,20.57,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2584"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__31,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,32.23,20.57,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2584"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__32,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.0,21.23,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 343"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__33,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,34.73,21.23,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 343"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__34,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.27,22.17,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 550"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2010-2011"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
