row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
dong_2018__ai__0,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,52,40.9,Table 2,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""foliar_treatment"": ""ZnSO4 only""} || src:Table 2 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__19,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,59.4,43.3,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jinan 17"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__20,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,60,47.7,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Luyuan 502"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__21,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,60.9,47.7,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Luyuan 502"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__22,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,49.5,38.7,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 20"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__23,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,52.4,38.7,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 20"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__24,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,48.3,35.7,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 22"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__25,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,52.2,35.7,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 22"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__26,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,51.8,40,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jinan 17"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__27,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,59.7,40,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jinan 17"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__28,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,51.2,38.6,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Luyuan 502"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__29,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,58.7,38.6,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Luyuan 502"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__30,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,50.8,40.3,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 20"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__31,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,56.9,40.3,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 20"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__32,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,53.3,43.8,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 22"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__33,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,55.8,43.8,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 22"", ""N_rate"": ""275 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
