row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
ram_2016__ai__0,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,42.7,34.6,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__11,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,40.2,26.2,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__12,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,40.9,21.0,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Faisalabad-I, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__13,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,22.6,21.0,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Faisalabad-I, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__14,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,36.8,29.8,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Faisalabad-II, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__15,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,30.5,29.8,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Faisalabad-II, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__16,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.9,21.1,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Muredke-I, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__17,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,24.9,21.1,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Muredke-I, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__18,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,26.2,24.2,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Kabirwala, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__19,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,27.5,24.2,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Kabirwala, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__20,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,41.2,30.4,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Muridke-II, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__21,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,41.5,30.4,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Muridke-II, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__22,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,50.0,30.1,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Capao Bonito-I, Brazil"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__23,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,52.4,30.1,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Capao Bonito-I, Brazil"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__24,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,49.5,29.5,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Capao Bonito-II, Brazil"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__25,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,53.5,29.5,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Capao Bonito-II, Brazil"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__26,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,42.7,25.3,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Capao Bonito, Brazil"", ""plant_part"": ""grain"", ""year"": ""2010"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__27,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,45.7,25.3,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Capao Bonito, Brazil"", ""plant_part"": ""grain"", ""year"": ""2010"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__28,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,47.5,32.4,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__29,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,38.5,32.4,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__30,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,49.2,32.6,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__31,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,37.2,32.6,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__32,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,40.7,21.1,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__33,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,41.9,21.1,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__34,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,32.5,18.3,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
