row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
chattha_2017__ai__0,ai,chattha_2017,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,34.3,30.0,Table 3,0,"T:Seed priming (0.3% ZnSO4) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.3% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__11,ai,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,61.2,32.5,Table 3,0,"T:Soil + foliar application || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__12,ai,chattha_2017,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,35.3,31.3,Table 3,0,"T:Seed priming (0.3% ZnSO4) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.3% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__13,ai,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,41.7,31.3,Table 3,0,"T:Soil application (50 kg ZnSO4/ha) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__14,ai,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,52.5,31.3,Table 3,0,"T:Foliar application (0.5% ZnSO4 at booting+milking) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__15,ai,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,55.0,31.3,Table 3,0,"T:Soil + foliar application || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__16,ai,chattha_2017,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,46.2,36.0,Table 3,0,"T:Seed priming (0.3% ZnSO4) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.3% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__17,ai,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,56.2,36.0,Table 3,0,"T:Soil application (50 kg ZnSO4/ha) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__18,ai,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,69.1,36.0,Table 3,0,"T:Foliar application (0.5% ZnSO4 at booting+milking) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__19,ai,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,70.6,36.0,Table 3,0,"T:Soil + foliar application || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__20,ai,chattha_2017,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,39.9,33.9,Table 3,0,"T:Seed priming (0.3% ZnSO4) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.3% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__21,ai,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,45.0,33.9,Table 3,0,"T:Soil application (50 kg ZnSO4/ha) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__22,ai,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,60.3,33.9,Table 3,0,"T:Foliar application (0.5% ZnSO4 at booting+milking) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__23,ai,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,63.7,33.9,Table 3,0,"T:Soil + foliar application || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2014-2015"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
