row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
mosavian_2021__ai__0,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,0,,single_cell,mg/kg,absolute_control,1.42,1.11,Table 8,0,"T:OPD, 0 N, 10 kg Zn/ha || C:OPD, 0 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 0, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__11,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,75,,single_cell,mg/kg,absolute_control,1.44,1.26,Table 8,0,"T:LPD, 75 N, 20 kg Zn/ha || C:LPD, 75 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 75, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__12,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,150,,single_cell,mg/kg,absolute_control,1.71,1.39,Table 8,0,"T:LPD, 150 N, 10 kg Zn/ha || C:LPD, 150 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 150, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__13,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,150,,single_cell,mg/kg,absolute_control,1.55,1.39,Table 8,0,"T:LPD, 150 N, 20 kg Zn/ha || C:LPD, 150 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 150, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__14,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,225,,single_cell,mg/kg,absolute_control,1.71,1.41,Table 8,0,"T:LPD, 225 N, 10 kg Zn/ha || C:LPD, 225 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 225, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__15,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,225,,single_cell,mg/kg,absolute_control,1.78,1.41,Table 8,0,"T:LPD, 225 N, 20 kg Zn/ha || C:LPD, 225 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 225, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__16,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,0,,single_cell,mg/kg,absolute_control,1.29,1.17,Table 8,0,"T:VLPD, 0 N, 10 kg Zn/ha || C:VLPD, 0 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 0, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__17,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,0,,single_cell,mg/kg,absolute_control,1.3,1.17,Table 8,0,"T:VLPD, 0 N, 20 kg Zn/ha || C:VLPD, 0 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 0, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__18,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,75,,single_cell,mg/kg,absolute_control,1.55,1.26,Table 8,0,"T:VLPD, 75 N, 10 kg Zn/ha || C:VLPD, 75 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 75, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__19,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,75,,single_cell,mg/kg,absolute_control,1.47,1.26,Table 8,0,"T:VLPD, 75 N, 20 kg Zn/ha || C:VLPD, 75 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 75, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__20,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,150,,single_cell,mg/kg,absolute_control,1.68,1.36,Table 8,0,"T:VLPD, 150 N, 10 kg Zn/ha || C:VLPD, 150 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 150, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__21,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,150,,single_cell,mg/kg,absolute_control,1.59,1.36,Table 8,0,"T:VLPD, 150 N, 20 kg Zn/ha || C:VLPD, 150 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 150, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__22,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,225,,single_cell,mg/kg,absolute_control,1.64,1.47,Table 8,0,"T:VLPD, 225 N, 10 kg Zn/ha || C:VLPD, 225 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 225, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__23,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,225,,single_cell,mg/kg,absolute_control,1.61,1.47,Table 8,0,"T:VLPD, 225 N, 20 kg Zn/ha || C:VLPD, 225 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 225, ""plant_part"": ""grain"", ""planting_date"": ""very late (Dec 31)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
