row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
yang_2011__ai__0,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,46.9,33.3,Table 2,0,"T:Foliar 0.3% ZnSO4 at jointing || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:1 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""jointing"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__11,ai,yang_2011,grain_zn,wheat,Foliar,nitrogen,0,,single_cell,mg/kg,absolute_control,46.6,26.3,Table 2,0,"T:Foliar 0.3% ZnSO4, N0 (0 kg N/ha) || C:No foliar Zn, N0 (0 kg N/ha) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:12 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""mean across timings"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""n_rate_kg_ha"": 0, ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__12,ai,yang_2011,grain_zn,wheat,Foliar,nitrogen,120,,single_cell,mg/kg,absolute_control,46.0,26.9,Table 2,0,"T:Foliar 0.3% ZnSO4, N120 (120 kg N/ha) || C:No foliar Zn, N120 (120 kg N/ha) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:13 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""mean across timings"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""n_rate_kg_ha"": 120, ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__13,ai,yang_2011,grain_zn,wheat,Foliar,nitrogen,240,,single_cell,mg/kg,absolute_control,51.3,29.8,Table 2,0,"T:Foliar 0.3% ZnSO4, N240 (240 kg N/ha) || C:No foliar Zn, N240 (240 kg N/ha) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:14 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""mean across timings"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""n_rate_kg_ha"": 240, ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__14,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,43.0,26.0,Figure 5 (estimated),1,"T:Foliar Zn (1.5 kg Zn/ha), cv WF151 || C:No Zn control, cv WF151 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:15 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""weekly April 15 - May 9"", ""cultivar"": ""Weifeng 151 (WF151)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__15,ai,yang_2011,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,50.0,26.0,Figure 5 (estimated),1,"T:Foliar Zn + Soil Zn, cv WF151 || C:No Zn control, cv WF151 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:16 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar+soil"", ""application_timing"": ""soil at sowing, foliar weekly April 15 - May 9"", ""cultivar"": ""Weifeng 151 (WF151)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg/ha foliar + 15 kg/ha soil"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__16,ai,yang_2011,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,24.0,25.0,Figure 5 (estimated),1,"T:Soil Zn (15 kg Zn/ha), cv WF151 || C:No Zn control, cv WF151 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:17 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Weifeng 151 (WF151)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""15 kg Zn/ha soil"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__17,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,40.0,25.0,Figure 5 (estimated),1,"T:Foliar Zn (1.5 kg Zn/ha), cv S715 || C:No Zn control, cv S715 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:18 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""weekly April 15 - May 9"", ""cultivar"": ""Shan 715 (S715)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__18,ai,yang_2011,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,46.0,25.0,Figure 5 (estimated),1,"T:Foliar Zn + Soil Zn, cv S715 || C:No Zn control, cv S715 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:19 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar+soil"", ""application_timing"": ""soil at sowing, foliar weekly April 15 - May 9"", ""cultivar"": ""Shan 715 (S715)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg/ha foliar + 15 kg/ha soil"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__19,ai,yang_2011,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.0,25.0,Figure 5 (estimated),1,"T:Soil Zn (15 kg Zn/ha), cv S715 || C:No Zn control, cv S715 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:20 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Shan 715 (S715)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""15 kg Zn/ha soil"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__20,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,46.0,28.0,Figure 5 (estimated),1,"T:Foliar Zn (1.5 kg Zn/ha), cv YF175 || C:No Zn control, cv YF175 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:21 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""weekly April 15 - May 9"", ""cultivar"": ""Yuanfeng 175 (YF175)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__21,ai,yang_2011,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,54.0,28.0,Figure 5 (estimated),1,"T:Foliar Zn + Soil Zn, cv YF175 || C:No Zn control, cv YF175 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:22 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar+soil"", ""application_timing"": ""soil at sowing, foliar weekly April 15 - May 9"", ""cultivar"": ""Yuanfeng 175 (YF175)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg/ha foliar + 15 kg/ha soil"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__22,ai,yang_2011,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,27.0,28.0,Figure 5 (estimated),1,"T:Soil Zn (15 kg Zn/ha), cv YF175 || C:No Zn control, cv YF175 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:23 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Yuanfeng 175 (YF175)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""15 kg Zn/ha soil"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__23,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,38.5,24.0,Figure 5 (estimated),1,"T:Foliar Zn (1.5 kg Zn/ha), cv XN889 || C:No Zn control, cv XN889 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:24 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""weekly April 15 - May 9"", ""cultivar"": ""Xinong 889 (XN889)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__24,ai,yang_2011,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,44.0,24.0,Figure 5 (estimated),1,"T:Foliar Zn + Soil Zn, cv XN889 || C:No Zn control, cv XN889 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:25 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar+soil"", ""application_timing"": ""soil at sowing, foliar weekly April 15 - May 9"", ""cultivar"": ""Xinong 889 (XN889)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg/ha foliar + 15 kg/ha soil"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__25,ai,yang_2011,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.0,24.0,Figure 5 (estimated),1,"T:Soil Zn (15 kg Zn/ha), cv XN889 || C:No Zn control, cv XN889 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:26 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Xinong 889 (XN889)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""15 kg Zn/ha soil"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__26,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,40.0,26.0,Figure 5 (estimated),1,"T:Foliar Zn (1.5 kg Zn/ha), cv XY216 || C:No Zn control, cv XY216 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:27 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""weekly April 15 - May 9"", ""cultivar"": ""Xiaoyan 216 (XY216)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__27,ai,yang_2011,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,48.0,26.0,Figure 5 (estimated),1,"T:Foliar Zn + Soil Zn, cv XY216 || C:No Zn control, cv XY216 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:28 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar+soil"", ""application_timing"": ""soil at sowing, foliar weekly April 15 - May 9"", ""cultivar"": ""Xiaoyan 216 (XY216)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""1.5 kg/ha foliar + 15 kg/ha soil"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yang_2011__ai__28,ai,yang_2011,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,26.0,26.0,Figure 5 (estimated),1,"T:Soil Zn (15 kg Zn/ha), cv XY216 || C:No Zn control, cv XY216 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:29 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Xiaoyan 216 (XY216)"", ""experiment"": ""Exp 3"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""15 kg Zn/ha soil"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
