element,tissue,treatment_mean,control_mean,treatment_variance,control_variance,variance_type,n,unit,data_source,treatment_description,control_description,moderators,confidence,notes,effect_pct,ln_rr,grim_valid,cv_reasonable,direction_expected,paper_id
grain yield at different Zn rates,grain,5.3,5.21,2.37,2.37,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""8"", ""location"": ""Ungarra, EP""}",low,"Residual Zn experiment, NS significance [single-model fallback: Claude only]",1.7274472168905923,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,3.96,3.59,0.29,0.29,SED,6,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""11"", ""location"": ""Yeelanna, EP""}",low,"Residual Zn experiment, * significance [single-model fallback: Claude only]",10.306406685236773,,,,,65_Oliver_1994
Zn concentration (mg/kg),grain,33.5,31.2,,,LSD,3,mg/kg,Table 5,40 kg ha-1 ZnSO4 soil application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""soil"", ""application_rate"": ""40 kg ha-1"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),7.371794871794875,,,,,66_PahlavanRad_2009
Zn concentration (mg/kg),grain,33.7,31.2,,,LSD,3,mg/kg,Table 5,80 kg ha-1 ZnSO4 soil application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""soil"", ""application_rate"": ""80 kg ha-1"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),8.012820512820525,,,,,66_PahlavanRad_2009
Zn concentration (mg/kg),grain,62.1,31.2,,,LSD,3,mg/kg,Table 5,Zn 0.5% foliar application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""foliar"", ""application_rate"": ""0.5%"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),99.03846153846155,,,,,66_PahlavanRad_2009
Fe concentration (mg/kg),grain,64.3,65.7,,,LSD,3,mg/kg,Table 5,40 kg ha-1 ZnSO4 soil application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""soil"", ""application_rate"": ""40 kg ha-1"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),-2.130898021308989,,,,,66_PahlavanRad_2009
Fe concentration (mg/kg),grain,65.4,65.7,,,LSD,3,mg/kg,Table 5,80 kg ha-1 ZnSO4 soil application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""soil"", ""application_rate"": ""80 kg ha-1"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),-0.4566210045662057,,,,,66_PahlavanRad_2009
Fe concentration (mg/kg),grain,71.2,65.7,,,LSD,3,mg/kg,Table 5,Zn 0.5% foliar application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""foliar"", ""application_rate"": ""0.5%"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),8.37138508371385,,,,,66_PahlavanRad_2009
Mn concentration (mg/kg),grain,48.1,49.1,,,LSD,3,mg/kg,Table 5,40 kg ha-1 ZnSO4 soil application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""soil"", ""application_rate"": ""40 kg ha-1"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),-2.0366598778004072,,,,,66_PahlavanRad_2009
Mn concentration (mg/kg),grain,52.3,49.1,,,LSD,3,mg/kg,Table 5,80 kg ha-1 ZnSO4 soil application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""soil"", ""application_rate"": ""80 kg ha-1"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),6.517311608961294,,,,,66_PahlavanRad_2009
Mn concentration (mg/kg),grain,50.7,49.1,,,LSD,3,mg/kg,Table 5,Zn 0.5% foliar application,Zn 0 (no zinc application),"{""cultivar"": ""Hamoon"", ""year"": ""2003-2004 (pooled)"", ""site"": ""Zahak Agricultural Research Station, Sistan, Iran"", ""treatment_type"": ""foliar"", ""application_rate"": ""0.5%"", ""fe_level"": ""pooled"", ""mn_level"": ""pooled""}",high,Models agree (diff=0.0%),3.258655804480654,,,,,66_PahlavanRad_2009
Zn,grain,12.4,11.4,2.3,2.3,LSD,4,mg/kg,Table 2,2.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1998"", ""site"": ""Lameroo""}",high,Models agree (diff=2.6%),8.771929824561402,,,,,68_Peck_2008
Zn,grain,14.0,12.2,,,LSD,4,mg/kg,Table 2,2.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1998"", ""site"": ""Tintinara""}",medium,Models agree (diff=8.5%),14.754098360655746,,,,,68_Peck_2008
Zn,grain,15.7,12.2,,,LSD,4,mg/kg,Table 2,22.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1998"", ""site"": ""Tintinara""}",medium,Models agree (diff=8.4%),28.68852459016394,,,,,68_Peck_2008
Zn,grain,14.2,14.1,,,null,4,mg/kg,Table 2,2.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1998"", ""site"": ""Minnipa""}",medium,Models agree (diff=9.2%),0.7092198581560258,,,,,68_Peck_2008
Zn,grain,20.3,10.9,2.3,2.3,LSD,4,mg/kg,Table 2,7.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Birchip""}",high,Models agree (diff=0.0%),86.23853211009175,,,,,68_Peck_2008
Zn,grain,21.0,10.9,2.3,2.3,LSD,4,mg/kg,Table 2,22.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Birchip""}",high,Models agree (diff=0.0%),92.66055045871559,,,,,68_Peck_2008
Zn,grain,21.8,20.5,2.8,2.8,LSD,4,mg/kg,Table 2,2.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Horsham SD1""}",high,Models agree (diff=0.0%),6.341463414634149,,,,,68_Peck_2008
Zn,grain,26.8,20.5,2.8,2.8,LSD,4,mg/kg,Table 2,7.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Horsham SD1""}",high,Models agree (diff=0.0%),30.731707317073177,,,,,68_Peck_2008
Zn,grain,30.3,20.5,2.8,2.8,LSD,4,mg/kg,Table 2,22.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Horsham SD1""}",high,Models agree (diff=0.0%),47.804878048780495,,,,,68_Peck_2008
Zn,grain,20.1,19.9,1.2,1.2,LSD,4,mg/kg,Table 2,2.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Horsham SD2""}",high,Models agree (diff=0.0%),1.005025125628155,,,,,68_Peck_2008
Zn,grain,24.5,19.9,1.2,1.2,LSD,4,mg/kg,Table 2,7.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Horsham SD2""}",high,Models agree (diff=0.0%),23.115577889447245,,,,,68_Peck_2008
Zn,grain,33.3,19.9,1.2,1.2,LSD,4,mg/kg,Table 2,22.5 kg Zn ha⁻¹ soil application,No Zn application (0 kg Zn ha⁻¹),"{""cultivar"": ""Frame and Goldmark (averaged)"", ""year"": ""1999"", ""site"": ""Horsham SD2""}",high,Models agree (diff=0.0%),67.33668341708542,,,,,68_Peck_2008
Number of tillers,whole plant,359,334,3.3035,3.3035,LSD,3,m-2,Table 2,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),7.48502994011976,,,,,69_Ramzan_2020
Number of tillers,whole plant,344,322,3.3035,3.3035,LSD,3,m-2,Table 2,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),6.832298136645963,,,,,69_Ramzan_2020
Number of tillers,whole plant,377,334,3.3035,3.3035,LSD,3,m-2,Table 2,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),12.874251497005988,,,,,69_Ramzan_2020
Number of tillers,whole plant,364,322,3.3035,3.3035,LSD,3,m-2,Table 2,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),13.043478260869565,,,,,69_Ramzan_2020
Number of tillers,whole plant,371,334,3.3035,3.3035,LSD,3,m-2,Table 2,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),11.077844311377245,,,,,69_Ramzan_2020
Number of tillers,whole plant,358,322,3.3035,3.3035,LSD,3,m-2,Table 2,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),11.180124223602485,,,,,69_Ramzan_2020
Number of tillers,whole plant,378,334,3.3035,3.3035,LSD,3,m-2,Table 2,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),13.17365269461078,,,,,69_Ramzan_2020
Number of tillers,whole plant,365,322,3.3035,3.3035,LSD,3,m-2,Table 2,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),13.354037267080745,,,,,69_Ramzan_2020
Plant height,whole plant,100.9,98.8,2.16,2.16,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),2.1255060728745026,,,,,69_Ramzan_2020
Plant height,whole plant,100.2,99.7,2.16,2.16,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),0.5015045135406219,,,,,69_Ramzan_2020
Plant height,whole plant,101.0,98.8,2.16,2.16,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),2.2267206477732824,,,,,69_Ramzan_2020
Plant height,whole plant,103.6,99.7,2.16,2.16,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),3.911735205616842,,,,,69_Ramzan_2020
Plant height,whole plant,101.3,98.8,2.16,2.16,LSD,3,cm,Table 2,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),2.5303643724696356,,,,,69_Ramzan_2020
Plant height,whole plant,101.5,99.7,2.16,2.16,LSD,3,cm,Table 2,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),1.8054162487462357,,,,,69_Ramzan_2020
Plant height,whole plant,101.6,98.8,2.16,2.16,LSD,3,cm,Table 2,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),2.8340080971659893,,,,,69_Ramzan_2020
Plant height,whole plant,104.3,99.7,2.16,2.16,LSD,3,cm,Table 2,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),4.613841524573716,,,,,69_Ramzan_2020
Spike length,spike,10.5,10.1,0.502,0.502,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),3.960396039603964,,,,,69_Ramzan_2020
Spike length,spike,10.4,10.0,0.502,0.502,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),4.0000000000000036,,,,,69_Ramzan_2020
Spike length,spike,11.1,10.1,0.502,0.502,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),9.900990099009901,,,,,69_Ramzan_2020
Spike length,spike,10.8,10.0,0.502,0.502,LSD,3,cm,Table 2,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),8.000000000000007,,,,,69_Ramzan_2020
Spike length,spike,10.6,10.1,0.502,0.502,LSD,3,cm,Table 2,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),4.9504950495049505,,,,,69_Ramzan_2020
Spike length,spike,10.2,10.0,0.502,0.502,LSD,3,cm,Table 2,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),1.9999999999999927,,,,,69_Ramzan_2020
Spike length,spike,10.8,10.1,0.502,0.502,LSD,3,cm,Table 2,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),6.930693069306941,,,,,69_Ramzan_2020
Number of spikelets per spike,spike,10.5,10.1,0.5622,0.5622,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),3.960396039603964,,,,,69_Ramzan_2020
Number of spikelets per spike,spike,10.4,10.0,0.5622,0.5622,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),4.0000000000000036,,,,,69_Ramzan_2020
Number of spikelets per spike,spike,11.1,10.1,0.5622,0.5622,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),9.900990099009901,,,,,69_Ramzan_2020
Number of spikelets per spike,spike,10.8,10.0,0.5622,0.5622,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),8.000000000000007,,,,,69_Ramzan_2020
Number of spikelets per spike,spike,10.6,10.1,0.5622,0.5622,LSD,3,count,Table 3,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),4.9504950495049505,,,,,69_Ramzan_2020
Number of spikelets per spike,spike,10.2,10.0,0.5622,0.5622,LSD,3,count,Table 3,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),1.9999999999999927,,,,,69_Ramzan_2020
Number of spikelets per spike,spike,10.8,10.1,0.5622,0.5622,LSD,3,count,Table 3,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),6.930693069306941,,,,,69_Ramzan_2020
Number of grains per spike,spike,47.0,43.0,1.0359,1.0359,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),9.30232558139535,,,,,69_Ramzan_2020
Number of grains per spike,spike,47.3,42.3,1.0359,1.0359,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),11.82033096926714,,,,,69_Ramzan_2020
Number of grains per spike,spike,49.3,43.0,1.0359,1.0359,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),14.651162790697667,,,,,69_Ramzan_2020
Number of grains per spike,spike,48.0,42.3,1.0359,1.0359,LSD,3,count,Table 3,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),13.475177304964546,,,,,69_Ramzan_2020
Number of grains per spike,spike,46.7,43.0,1.0359,1.0359,LSD,3,count,Table 3,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),8.604651162790704,,,,,69_Ramzan_2020
Number of grains per spike,spike,48.0,43.0,1.0359,1.0359,LSD,3,count,Table 3,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),11.627906976744185,,,,,69_Ramzan_2020
1000-grain weight,grain,38.4,32.8,0.8602,0.8602,LSD,3,g,Table 3,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),17.073170731707325,,,,,69_Ramzan_2020
1000-grain weight,grain,37.7,32.5,0.8602,0.8602,LSD,3,g,Table 3,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),16.000000000000007,,,,,69_Ramzan_2020
1000-grain weight,grain,40.8,32.8,0.8602,0.8602,LSD,3,g,Table 3,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),24.39024390243903,,,,,69_Ramzan_2020
1000-grain weight,grain,41.3,32.5,0.8602,0.8602,LSD,3,g,Table 3,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),27.07692307692307,,,,,69_Ramzan_2020
1000-grain weight,grain,39.5,32.8,0.8602,0.8602,LSD,3,g,Table 3,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),20.426829268292693,,,,,69_Ramzan_2020
1000-grain weight,grain,38.1,32.5,0.8602,0.8602,LSD,3,g,Table 3,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),17.230769230769237,,,,,69_Ramzan_2020
1000-grain weight,grain,41.8,32.8,0.8602,0.8602,LSD,3,g,Table 3,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),27.439024390243905,,,,,69_Ramzan_2020
1000-grain weight,grain,41.1,32.5,0.8602,0.8602,LSD,3,g,Table 3,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),26.461538461538463,,,,,69_Ramzan_2020
Biological yield,whole plant,11.5,10.9,0.3761,0.3761,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),5.5045871559633,,,,,69_Ramzan_2020
Biological yield,whole plant,11.4,10.8,0.3761,0.3761,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),5.555555555555552,,,,,69_Ramzan_2020
Biological yield,whole plant,11.7,10.9,0.3761,0.3761,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),7.339449541284393,,,,,69_Ramzan_2020
Biological yield,whole plant,11.8,10.8,0.3761,0.3761,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),9.25925925925926,,,,,69_Ramzan_2020
Biological yield,whole plant,11.9,10.9,0.3761,0.3761,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),9.174311926605503,,,,,69_Ramzan_2020
Biological yield,whole plant,11.6,10.8,0.3761,0.3761,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),7.407407407407398,,,,,69_Ramzan_2020
Biological yield,whole plant,12.1,10.9,0.3761,0.3761,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),11.0091743119266,,,,,69_Ramzan_2020
Biological yield,whole plant,12.0,10.8,0.3761,0.3761,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),11.111111111111104,,,,,69_Ramzan_2020
