outcome_variable,treatment_description,control_description,treatment_mean,control_mean,treatment_n,control_n,data_source,notes,control_se,effect_pct,element,mod_AMF_status,mod_Cd_added_mg_kg,mod_Cu_added_mg_kg,mod_DAG,mod_K_supply_mg_per_l,mod_N_rate,mod_N_supply_mg_per_l,mod_P_level_mg_per_kg,mod_P_supply_mg_per_l,mod_TOS,mod_average_across,mod_boron_category,mod_boron_level,mod_category,mod_clipping,mod_clone,mod_co2_control,mod_co2_elevated,mod_co2_level,mod_co2_ppm,mod_co2_treatment,mod_cohort,mod_crop,mod_cultivar,mod_culture_system,mod_days_from_seeding,mod_duration_days,mod_ecotype,mod_experiment,mod_fe_supply,mod_fungal_species,mod_genotype,mod_growth_form,mod_growth_stage,mod_harvest,mod_harvest_day,mod_harvest_time,mod_irrigation,mod_leaf_age,mod_leaf_position,mod_maturity,mod_measurement,mod_method,mod_mixture,mod_n_amendment,mod_n_form,mod_needle_age,mod_needle_year,mod_nitrogen_concentration,mod_nitrogen_level,mod_note,mod_nutrient_treatment,mod_o3,mod_o3_treatment,mod_ozone,mod_p_status,mod_p_treatment,mod_p_value,mod_photosynthetic_pathway,mod_rainfall_year,mod_sampling_date,mod_season,mod_significance,mod_soil,mod_soil_fertility,mod_soil_k,mod_soil_moisture,mod_sowing,mod_species,mod_tissue,mod_variety,mod_year,mod_years,n,paper_id,se_control,se_treatment,site,species,tissue,treatment_se,unit
S,Elevated CO2 550 ppm,Ambient CO2 384 ppm,1.65,1.83,4,4,Table 2,,,-9.84,S,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,g/kg
Ca,Elevated CO2 550 ppm,Ambient CO2 384 ppm,0.38,0.4,4,4,Table 2,,,-5.0,Ca,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,g/kg
Fe,Elevated CO2 550 ppm,Ambient CO2 384 ppm,35.75,42.75,4,4,Table 2,,,-16.37,Fe,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,mg/kg
Zn,Elevated CO2 550 ppm,Ambient CO2 384 ppm,24.5,29.25,4,4,Table 2,,,-16.24,Zn,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,mg/kg
S,Elevated CO2 550 ppm,Ambient CO2 384 ppm,1.88,1.59,4,4,Table 2,Values as printed in Table 2. Paper reports -12% but computed from printed values gives +18%. The S column values for 2009 TOS1/TOS2 aCO2 appear swapped in the original table.,,18.24,S,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,g/kg
Ca,Elevated CO2 550 ppm,Ambient CO2 384 ppm,0.3,0.35,4,4,Table 2,,,-14.29,Ca,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,g/kg
Ca,Elevated CO2 ~568 uL/L (+200),Ambient CO2 ~367 uL/L,0.09,0.09,3,3,Table 4,,,0.0,Ca,,,,,,,,,,,,,,,,,,,+200,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 wet,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
Ca,Elevated CO2 ~668 uL/L (+300),Ambient CO2 ~367 uL/L,0.08,0.09,3,3,Table 4,,,-11.11,Ca,,,,,,,,,,,,,,,,,,,+300,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 wet,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
K,Elevated CO2 ~568 uL/L (+200),Ambient CO2 ~367 uL/L,0.22,0.24,3,3,Table 4,,,-8.33,K,,,,,,,,,,,,,,,,,,,+200,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 wet,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
K,Elevated CO2 ~668 uL/L (+300),Ambient CO2 ~367 uL/L,0.23,0.24,3,3,Table 4,,,-4.17,K,,,,,,,,,,,,,,,,,,,+300,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 wet,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
protein,Elevated CO2 ~568 uL/L (+200),Ambient CO2 ~367 uL/L,10.1,10.0,3,3,Table 4,,,1.0,protein,,,,,,,,,,,,,,,,,,,+200,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 wet,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
protein,Elevated CO2 ~668 uL/L (+300),Ambient CO2 ~367 uL/L,9.3,10.0,3,3,Table 4,,,-7.0,protein,,,,,,,,,,,,,,,,,,,+300,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994 wet,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
protein,Elevated CO2 ~566 uL/L (+200),Ambient CO2 ~364 uL/L,9.2,9.3,3,3,Table 4,,,-1.08,protein,,,,,,,,,,,,,,,,,,,+200,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 dry,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
protein,Elevated CO2 ~661 uL/L (+300),Ambient CO2 ~364 uL/L,8.4,9.3,3,3,Table 4,,,-9.68,protein,,,,,,,,,,,,,,,,,,,+300,,,,,IR 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995 dry,,,,,,,,,,,,3,002_Ziska_1997,,,,,grain,,%
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.17,0.11,3,3,Table 2,,,54.55,P,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.12,0.16,3,3,Table 2,,,-25.0,P,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.18,0.13,3,3,Table 2,,,38.46,P,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.2,0.15,3,3,Table 2,,,33.33,P,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.11,0.1,3,3,Table 2,,,10.0,P,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.19,0.17,3,3,Table 2,,,11.76,P,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.11,0.2,3,3,Table 2,,,-45.0,P,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
P,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.17,0.12,3,3,Table 2,,,41.67,P,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),8.8,8.0,3,3,Table 2,,,10.0,K,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),4.7,4.2,3,3,Table 2,,,11.9,K,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),8.6,8.2,3,3,Table 2,,,4.88,K,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),4.8,4.9,3,3,Table 2,,,-2.04,K,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),7.6,7.9,3,3,Table 2,,,-3.8,K,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),3.8,4.3,3,3,Table 2,,,-11.63,K,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),7.9,7.4,3,3,Table 2,,,6.76,K,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
K,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),4.6,4.4,3,3,Table 2,,,4.55,K,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.28,0.8,3,3,Table 2,,,-65.0,Ca,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),1.04,0.23,3,3,Table 2,,,352.17,Ca,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.32,0.77,3,3,Table 2,,,-58.44,Ca,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.96,0.2,3,3,Table 2,,,380.0,Ca,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.44,1.0,3,3,Table 2,,,-56.0,Ca,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.9,0.52,3,3,Table 2,,,73.08,Ca,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.36,0.85,3,3,Table 2,,,-57.65,Ca,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Ca,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.9,0.42,3,3,Table 2,,,114.29,Ca,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.42,0.31,3,3,Table 2,,,35.48,Mg,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.13,0.12,3,3,Table 2,,,8.33,Mg,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.13,0.37,3,3,Table 2,,,-64.86,Mg,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.46,0.13,3,3,Table 2,,,253.85,Mg,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.17,0.34,3,3,Table 2,,,-50.0,Mg,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.34,0.16,3,3,Table 2,,,112.5,Mg,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.11,0.3,3,3,Table 2,,,-63.33,Mg,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
Mg,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),0.28,0.12,3,3,Table 2,,,133.33,Mg,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),3.5,3.4,3,3,Table 2,,,2.94,N,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),2.5,2.1,3,3,Table 2,,,19.05,N,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),3.0,2.7,3,3,Table 2,,,11.11,N,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),2.4,3.6,3,3,Table 2,,,-33.33,N,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),2.9,2.8,3,3,Table 2,,,3.57,N,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),2.7,2.7,3,3,Table 2,,,0.0,N,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),2.5,2.9,3,3,Table 2,,,-13.79,N,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,mg/g FW
N,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),2.4,2.9,3,3,Table 2,,,-17.24,N,M,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,mg/g FW
Zn,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),6.6,4.7,3,3,Table 2,,,40.43,Zn,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,ppm
Zn,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),3.8,3.2,3,3,Table 2,,,18.75,Zn,NM,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,ppm
Zn,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),6.8,3.7,3,3,Table 2,,,83.78,Zn,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,ppm
Zn,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),3.2,3.3,3,3,Table 2,,,-3.03,Zn,M,,,,,,,,,,,,,,,,,,,,,,,Batavia Rubia Munguia (BRM),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,ppm
Zn,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),3.3,4.6,3,3,Table 2,,,-28.26,Zn,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,outer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,outer leaf,,ppm
Zn,Elevated CO2 (700 umol/mol),Ambient CO2 (392 umol/mol),2.5,3.2,3,3,Table 2,,,-21.88,Zn,NM,,,,,,,,,,,,,,,,,,,,,,,Maravilla de Verano (MV),,,,,,,,,,,,,,,,inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,003_Baslam_2012,,,,,inner leaf,,ppm
