paper_id,outcome,outcome_unit,source_type,table_or_figure,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,variance_treatment,variance_control,se_treatment,se_control,sd_treatment,sd_control,treatment_description,control_description,confidence,notes,title,authors,year,journal,doi,mod_crop_species,mod_crop_functional_group,mod_amf_species,mod_p_fertilization,mod_n_fertilization,mod_study_type,mod_soil_type,mod_sterilized_soil,mod_time_point,mod_experiment,p_value,significance,mod_measurement_basis,mod_functional_group,mod_p_availability,mod_climate_zone,mod_year,mod_soil_salinity_dS_m,mod_soil_pH,mod_p_fertilization_level,mod_n_fertilization_level,mod_tissue,mod_community_type,mod_soil_sterilized,mod_P_fertilization,mod_note,mod_phosphorus_level,mod_country,mod_growth_duration_days,mod_organic_system,mod_crop_cultivar,mod_growth_medium,mod_duration,mod_colonization_pct,mod_crop_variety,mod_site,mod_inoculum_type,mod_inoculum_dose,mod_plant_density,mod_experiment_duration,mod_phosphorus_fertilization,mod_soil_P_mg_dm3,mod_evaluation_time,mod_location,mod_npk_dose_pct,mod_amf_strain,mod_salinity_mM_NaCl,mod_root_part,mod_plant_organ,mod_soil_P_olsen_mg_kg,mod_N_fertilization,mod_pathogen_present,mod_amf_dose_g_per_plant,mod_trichoderma_present,mod_nursery_stage,mod_measurement_age_months,mod_treatment_code,mod_trichoderma_dose,mod_sampling_time,mod_mycorrhizal_type,mod_N_status,mod_biomass_component,mod_n_experiments,mod_n_experiments_aboveground_total,mod_n_experiments_belowground_total,mod_N_fixing_species_present,mod_cultivar,mod_mycorrhizal_dependency_pct,mod_amf_dose,mod_npk_level_kg_ha,mod_p_fertilization_kg_P2O5_ha,mod_n_fertilization_kg_N_ha,mod_soil_p_available_mg_kg,mod_yeast_treatment,mod_season,mod_tomato_genotype,mod_fungal_species,mod_treatment_type,mod_duration_days,mod_days_after_planting,mod_plant_age_days,mod_population_origin_comparison,mod_donor_population_origin,mod_experiment_duration_days,mod_venue_comparison,mod_chemical_treatment,mod_chemical_concentrations_tested,mod_n_populations,mod_population_origin,mod_seedlings_per_population,mod_exudate_source,mod_spores_per_dish,mod_replicates_per_treatment,mod_incubation_temp_C,mod_measurement_days,mod_nitrogen_level,mod_nutrient_treatment,mod_heavy_metal_level,mod_water_treatment,mod_soil_P_ppm,mod_other_inoculants_in_treatment,mod_comparison_type
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.722,1.588,8.438287153652386,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 2.10 dS/m","Non-mycorrhizal (NM), soil salinity 2.10 dS/m",high,Combined inoculation.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,2.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.54,1.45,6.206896551724143,3.0,3.0,SE,,0.03,0.03,0.03,0.03,,,"Glomus mosseae (Gm) inoculation, soil salinity 2.10 dS/m","Non-mycorrhizal (NM), soil salinity 2.10 dS/m",high,C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,2.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.492,1.45,2.8965517241379337,3.0,3.0,SE,,0.03,0.03,0.03,0.03,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 2.10 dS/m","Non-mycorrhizal (NM), soil salinity 2.10 dS/m",high,C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,2.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.573,1.45,8.482758620689655,3.0,3.0,SE,,0.03,0.03,0.03,0.03,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 2.10 dS/m","Non-mycorrhizal (NM), soil salinity 2.10 dS/m",high,Combined inoculation. C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,2.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.57,1.439,9.103544127866574,3.0,3.0,SE,,0.02,0.02,0.02,0.02,,,"Glomus mosseae (Gm) inoculation, soil salinity 3.78 dS/m","Non-mycorrhizal (NM), soil salinity 3.78 dS/m",high,,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,3.78,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.517,1.439,5.420430854760239,3.0,3.0,SE,,0.02,0.02,0.02,0.02,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 3.78 dS/m","Non-mycorrhizal (NM), soil salinity 3.78 dS/m",high,,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,3.78,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.6,1.439,11.188325225851289,3.0,3.0,SE,,0.02,0.02,0.02,0.02,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 3.78 dS/m","Non-mycorrhizal (NM), soil salinity 3.78 dS/m",high,Combined inoculation.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,3.78,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.346,1.238,8.7237479806139,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae (Gm) inoculation, soil salinity 3.78 dS/m","Non-mycorrhizal (NM), soil salinity 3.78 dS/m",high,C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,3.78,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.301,1.238,5.088852988691434,3.0,3.0,SE,,0.03,0.03,0.03,0.03,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 3.78 dS/m","Non-mycorrhizal (NM), soil salinity 3.78 dS/m",high,C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,3.78,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.369,1.238,10.581583198707593,3.0,3.0,SE,,0.03,0.03,0.03,0.03,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 3.78 dS/m","Non-mycorrhizal (NM), soil salinity 3.78 dS/m",high,Combined inoculation. C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,3.78,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.301,1.187,9.604043807919114,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae (Gm) inoculation, soil salinity 5.94 dS/m","Non-mycorrhizal (NM), soil salinity 5.94 dS/m",high,,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,5.94,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.251,1.187,5.391743892165108,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 5.94 dS/m","Non-mycorrhizal (NM), soil salinity 5.94 dS/m",high,,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,5.94,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.34,1.187,12.889637742207247,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 5.94 dS/m","Non-mycorrhizal (NM), soil salinity 5.94 dS/m",high,Combined inoculation.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,5.94,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.202,1.107,8.581752484191506,3.0,3.0,SE,,0.03,0.04,0.03,0.04,,,"Glomus mosseae (Gm) inoculation, soil salinity 5.94 dS/m","Non-mycorrhizal (NM), soil salinity 5.94 dS/m",high,C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,5.94,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.168,1.107,5.5103884372177,3.0,3.0,SE,,0.04,0.04,0.04,0.04,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 5.94 dS/m","Non-mycorrhizal (NM), soil salinity 5.94 dS/m",high,C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,5.94,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.229,1.107,11.020776874435422,3.0,3.0,SE,,0.04,0.04,0.04,0.04,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 5.94 dS/m","Non-mycorrhizal (NM), soil salinity 5.94 dS/m",high,Combined inoculation. C. tetragonoloba (guar).,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,5.94,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
