paper_id,outcome,outcome_unit,source_type,table_or_figure,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,variance_treatment,variance_control,se_treatment,se_control,sd_treatment,sd_control,treatment_description,control_description,confidence,notes,title,authors,year,journal,doi,mod_crop_type,mod_crop_species,mod_region,mod_climate_zone,mod_study_duration,mod_organic_certification_status,mod_experiment_type,mod_irrigation,mod_soil_type,mod_original_source,p_value,significance,mod_study_duration_years,mod_cropping_system,mod_variety,mod_year_of_harvest,mod_locations,mod_design,mod_rice_cultivars,mod_wheat_cultivars,mod_country,mod_year_of_observation,mod_data_source,mod_system_comparison,mod_metric,mod_OA_area_ha,mod_CA_area_ha,mod_total_regions,mod_OA_CA_ratio,mod_control_crop_species,mod_N_input_treatment_kg_ha,mod_N_input_control_kg_ha,mod_same_crop,mod_wheat_cultivar,mod_tillage_treatment,mod_org_product_type,mod_conv_product_type,mod_org_years_grown,mod_conv_years_grown,mod_replicates_per_year,mod_cycle,mod_organic_certification,mod_cultivar,mod_companion_crop,mod_location,mod_experimental_design,mod_plot_size_m2,mod_plant_population_maize,mod_plant_population_bean,mod_years_since_conversion,mod_site,mod_fertilization_intensity,mod_cross,mod_subpopulation,mod_cultivation_site,mod_station,mod_region_country,mod_number_of_localities,mod_fertilizer_type,mod_study_phase,mod_system_type,mod_planting_density,mod_shade_canopy_pct,mod_crop_role,mod_study_period,mod_analysis,mod_comparison_type,mod_n_organic_sites,mod_n_conv_sites,mod_note,mod_altitude_m,mod_precipitation_mm,mod_evapotranspiration_mm,mod_study_duration_years_organic,mod_study_duration_years_conv,mod_organic_period,mod_conv_period,mod_study_duration_days,mod_amendment_rate_t_ha,mod_amendment_source,mod_organic_area_share_pct,mod_yield_modifier,mod_farm_type,mod_soil_quality_SQR,mod_cropland_pct,mod_cereals_pct_cropland,mod_livestock_density_LU_ha,mod_grass_clover_pct_cropland,mod_cultivar_type,mod_plant_density,mod_elevation_m,mod_year,mod_rotation,mod_green_manure_for_organic,mod_hybrid_note,mod_green_manure_N_kg_ha,mod_experiment_name,mod_milling_fraction,mod_row_width_cm,mod_N_fertilizer_kg_ha,mod_harvest_product,mod_tillage_system,mod_tillage_depth,mod_green_manure_treatment,mod_elevation,mod_pH,mod_Corg,mod_harvest_year,mod_soil_pH,mod_organic_N_level_pct,mod_years,mod_cultivar_class,mod_rotation_established,mod_conventional_intensity,mod_conventional_N_rate_kg_ha,mod_organic_preceding_crop,mod_conventional_preceding_crop,mod_vermicompost_type,mod_application_rate_t_ha,mod_cropping_sequence,mod_effect_type,mod_NPK_dose_kg_ha,mod_organic_amendment,mod_season,mod_basal_NPK_applied,mod_region_or_country,mod_original_study,mod_oxygenation_method,mod_organic_input_count,mod_organic_inputs
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 4,24.71,25.63,-3.5895435037065866,,,LSD,12.547,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Variety x production system interaction (2012). Vellayani Hraswa is a domestic variety. Slight conventional advantage.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,Vellayani Hraswa,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 4,23.51,19.03,23.541776142932214,,,LSD,12.547,,,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Organic with biofertilizers treatment. Variety x production system interaction (2012). CD(0.05) = 12.547 for interaction.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,H-165,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 4,27.28,37.68,-27.600849256900204,,,LSD,12.547,,,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Organic with biofertilizers treatment. Variety x production system interaction (2012). Large conventional advantage for Sree Vijaya.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,Sree Vijaya,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 4,25.56,25.63,-0.2731174404994159,,,LSD,12.547,,,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Organic with biofertilizers treatment. Variety x production system interaction (2012). Nearly identical yields.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,Vellayani Hraswa,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield per plant,kg plant-1,table,Table 3,2.379,2.179,9.178522257916484,,,,,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Per-plant yield. CD(0.05) = NS for 2011. Pooled across 3 varieties.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,ns,ns,1.0,,"pooled (H-165, Sree Vijaya, Vellayani Hraswa)",2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield per plant,kg plant-1,table,Table 3,2.369,2.223,6.567701304543426,,,LSD,0.323,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Per-plant yield. CD(0.05) = 0.323 kg/plant for production systems in 2012. Pooled across 3 varieties.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,"pooled (H-165, Sree Vijaya, Vellayani Hraswa)",2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aslam_2020_Comparative_economic_analysis_of_crop,Wheat grain yield,kg/ha,table,Table 4,3628.49,4482.16,-19.045951059310692,88.0,95.0,SE,,59.92,87.88,59.92,87.88,,,"Organic farming (natural manure, minimal pesticides)","Conventional farming (NPK fertilizers, synthetic pesticides)",medium,"Survey of 300 farmers (153 organic, 147 conventional) in 2019. Parenthetical values in Table 4 interpreted as SE based on large sample sizes (SE with n~90 gives realistic CV~15%). Mean difference 853.67 kg/ha reported as significant (T=4.63 for within-organic district comparison, T=4.02 for within-conventional). Rabi season wheat.","Comparative economic analysis of crop yield under organic and conventional farming systems in Punjab, Pakistan","Waqas Aslam, Rana Shahzad Noor, Saif Ullah, Hong Chen",2020,Asian Journal of Agriculture & Biology,10.35495/ajab.2020.02.093,cereal,wheat,"Toba Tek Singh, Punjab, Pakistan",subtropical,1,organic-principles,on-farm comparison,irrigated,,,<0.01,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aslam_2020_Comparative_economic_analysis_of_crop,Wheat grain yield,kg/ha,table,Table 4,3260.52,3718.78,-12.322858571897239,65.0,52.0,SE,,125.06,124.62,125.06,124.62,,,"Organic farming (natural manure, minimal pesticides)","Conventional farming (NPK fertilizers, synthetic pesticides)",medium,"Survey of 300 farmers in 2019. Jhang district. Parenthetical values interpreted as SE. Mean difference 458.26 kg/ha. Table 4 reports within-system district differences (566.03** and 613.66**) rather than organic-vs-conventional t-stats directly, but text states organic yield was significantly lower by 11% overall.","Comparative economic analysis of crop yield under organic and conventional farming systems in Punjab, Pakistan","Waqas Aslam, Rana Shahzad Noor, Saif Ullah, Hong Chen",2020,Asian Journal of Agriculture & Biology,10.35495/ajab.2020.02.093,cereal,wheat,"Jhang, Punjab, Pakistan",subtropical,1,organic-principles,on-farm comparison,irrigated,,,<0.01,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzadSinghPanwar_2022_Effect_of_organic_farming_on,Rice grain yield,kg/ha,table,Table 4,3740.1,3498.0,6.921097770154372,,,LSD,123.4,,,,,,,"Organic crop management (FYM 7.84 t/ha, vermicompost 3.13 t/ha, neem cake 853 kg, Sesbania green manuring)","Inorganic crop management (DAP, muriate of potash, urea; recommended NPK doses)",high,"Organic rice yield significantly HIGHER than inorganic. Data averaged across 4 locations and 15 years (2004-05 to 2017-18). LSD is for crop management main effect comparison. n not explicitly stated; design has 3 reps at each of 4 locations = 12 plots per treatment per year, averaged over 15 years. Organic management included Sesbania green manuring which likely boosted rice yield.","Effect of organic farming on the restoration of soil quality, ecosystem services, and productivity in rice–wheat agro-ecosystems","Panwar AS, Ansari MA, Ravisankar N, Babu S, Prusty AK, Ghasal PC, Choudhary J, Shamim M, Singh R, Raghavendra KJ, Dutta D, Meena AL, Chauhan GV, Ansari MH, Singh R, Aulakh CS, Singh DK, Sharma PB",2022,Frontiers in Environmental Science,10.3389/fenvs.2022.972394,cereal,rice,India (Indo-Gangetic Plains),subtropical/humid subtropical,,organic-principles,long-term trial,irrigated,sandy loam to alluvial,,<0.05,*,15.0,,,,"Jabalpur, Ludhiana, Pantnagar, Modipuram","factorial RBD, 3 reps x 4 locations","Pusa Basmati-1 (Modipuram, Pantnagar, Jabalpur), Punjab Basmati-3 (Ludhiana)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzadSinghPanwar_2022_Effect_of_organic_farming_on,Wheat grain yield,kg/ha,table,Table 4,3702.0,4078.2,-9.224657937325286,,,LSD,181.1,,,,,,,"Organic crop management (FYM, vermicompost, oilcake; N at 80 kg/ha and 55 kg/ha in two splits)","Inorganic crop management (DAP, muriate of potash, urea; recommended NPK doses)",high,"Organic wheat yield significantly LOWER than inorganic, consistent with expected negative yield gap. Data averaged across 4 locations and 15 years. LSD is for crop management main effect. Wheat appears more sensitive to organic management than rice in this system.","Effect of organic farming on the restoration of soil quality, ecosystem services, and productivity in rice–wheat agro-ecosystems","Panwar AS, Ansari MA, Ravisankar N, Babu S, Prusty AK, Ghasal PC, Choudhary J, Shamim M, Singh R, Raghavendra KJ, Dutta D, Meena AL, Chauhan GV, Ansari MH, Singh R, Aulakh CS, Singh DK, Sharma PB",2022,Frontiers in Environmental Science,10.3389/fenvs.2022.972394,cereal,wheat,India (Indo-Gangetic Plains),subtropical/humid subtropical,,organic-principles,long-term trial,irrigated,sandy loam to alluvial,,<0.05,*,15.0,,,,"Jabalpur, Ludhiana, Pantnagar, Modipuram","factorial RBD, 3 reps x 4 locations",,"HI 8713 (Modipuram), PBW-725 (Ludhiana), UP-2572 (Pantnagar), MPO-1106 (Jabalpur)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
